Property_name,Price (dollars),Year_Built,Property_Type,Area (sq ft),Tax (dollars/year),Total_room,Bedroom,Bathroom,Area_code,Price (euros),Prop_size (m^2)
Family duplex - Paris 4th - Rambuteau district,1510870.0,1800.0,Duplex Homes,1367.0,932.0,5.0,4.0,2.0,75004,1390000.0,125.0
EXCLUSIVITÃ‰ - Paris 1er - Louvre /Rivoli - Charmant appartement Familial,1510870.0,1800.0,Apartments,1162.0,2614.5196078431372,5.0,4.0,3.0,75001,1390000.0,106.0
Paris 7 - Gros Caillou/Saint Dominique,1510870.0,1920.0,Apartments,990.0,1249.0,5.0,2.0,2.0,75007,1390000.0,91.0
PARIS XVI - Family apartment - 4 bedrooms,1510870.0,1931.0,Apartments,1636.0,4582.0,6.0,4.0,5.0,75016,1390000.0,150.0
Paris XVI - La Fontaine - Castel BÃ©ranger,1500000.0,1898.0,Apartments,904.0,2614.5196078431372,4.0,1.0,2.0,75016,1380000.0,83.0
Appartement vue dÃ©gagÃ©e,1494565.0,1956.0,Apartments,1280.0,2614.5196078431372,5.0,2.0,2.0,75016,1374999.0,117.0
Apartment,1478261.0,1880.0,Apartments,613.0,1336.0,5.0,2.0,2.0,75006,1360000.0,56.0
Apartment,1478261.0,1880.0,Apartments,613.0,1336.0,5.0,1.0,2.0,75006,1360000.0,56.0
Pereire / Batignolles,1472826.0,1930.0,Apartments,1388.0,2476.0,5.0,2.0,3.0,75017,1354999.0,127.0
Garden level in a building with swimming pool.,1467391.0,1780.0,Apartments,473.0,890.0,2.0,1.0,2.0,75007,1349999.0,43.0
Magnificent renovated 2-room apartment - Eiffel Tower view - Gros Caillou,1467391.0,1881.0,Apartments,548.0,1087.0,5.0,1.0,1.0,75007,1349999.0,50.0
Duplex,1466304.0,2021.0,Duplex Homes,828.0,1710.0,4.0,2.0,3.0,75012,1348999.0,76.0
PARIS - GROS CAILLOUX - EIFFEL TOWER,1413043.0,1898.0,Apartments,807.0,1571.0,3.0,2.0,2.0,75007,1299999.0,74.0
Saint Thomas d'Aquin - Appartement avec vue et balcon.,1407609.0,1932.0,Apartments,710.0,1534.0,5.0,1.0,2.0,75007,1295000.0,65.0
Paris 7 - Bon marchÃ© - 2 bedrooms,1402174.0,1880.0,Apartments,796.0,2114.0,5.0,2.0,2.0,75007,1290000.0,73.0
Paris XVI- Flandrin - exceptional 'Pied Ã terre',1402174.0,1907.0,Apartments,656.0,2614.5196078431372,2.0,1.0,2.0,75116,1290000.0,60.0
Paris II - Contemporary apartment with open views on a high floor,1402174.0,1870.0,Apartments,1097.0,1130.0,5.0,3.0,3.0,75002,1290000.0,100.0
Paris IX - Charming apartment on a high floor with a large long balcony,1380435.0,1966.0,Apartments,1097.0,1484.0,5.0,2.0,4.0,75009,1270000.0,100.0
Paris 7th - Gros Caillou - 1 Bedroom,1369565.0,1949.0,Apartments,538.0,2614.5196078431372,2.0,1.0,2.0,75007,1259999.0,49.0
Paris 16th Victor Hugo,1358696.0,1870.0,Apartments,1162.0,2616.0,5.0,3.0,1.0,75016,1250000.0,106.0
Place Saint-Georges / Rue des Martyrs - Bright 2 bedrooms apartment,1342391.0,1860.0,Apartments,1033.0,2614.5196078431372,5.0,2.0,1.0,75009,1234999.0,95.0
Apartment,1342391.0,1830.0,Apartments,1022.0,1308.0,5.0,2.0,3.0,75003,1234999.0,94.0
Beautiful 3-room apartment with balcony - Hoche / Monceau,1304348.0,1935.0,Apartments,828.0,2030.0,3.0,1.0,2.0,75008,1200000.0,76.0
Garden flat with gardens and terraces - Paris 12th - Daumesnil,1304348.0,2006.0,Apartments,1399.0,2180.0,5.0,3.0,4.0,75012,1200000.0,128.0
Appartement terrasse - Village d' Auteuil Ã PARIS XVI,1293478.0,2004.0,Apartments,850.0,1775.0,5.0,1.0,2.0,75016,1189999.0,78.0
PARIS - SAINT GERMAIN DES PRES,1293478.0,1800.0,Apartments,516.0,2614.5196078431372,2.0,1.0,2.0,75006,1189999.0,47.0
Appartement terrasse - Village d' Auteuil Ã PARIS XVI,1293478.0,2004.0,Apartments,850.0,1775.0,5.0,1.0,2.0,75016,1189999.0,78.0
Paris XVI - Muette : Entirely renovated elegant and modern apartment,1267391.0,1952.0,Apartments,968.0,1971.0,5.0,2.0,3.0,75016,1165999.0,89.0
Paris 16 - Duplex dernier Ã©tage avec terrasse de plain pied et vue Tour Eiffel -,1250000.0,1962.0,Apartments,1076.0,2614.5196078431372,4.0,2.0,2.0,75016,1150000.0,98.0
Paris 11 - Chemin Vert,1250000.0,1850.0,Apartments,947.0,2614.5196078431372,5.0,2.0,3.0,75011,1150000.0,87.0
Perfect pied-Ã -terre close to Rue Cler Market,1250000.0,1890.0,Apartments,667.0,2614.5196078431372,3.0,2.0,3.0,75007,1150000.0,61.0
Paris 6 - St Germain des PrÃ¨s - Pied-Ã -terre rÃ©novÃ© - 2 Chambres,1239130.0,1949.0,Apartments,688.0,2314.0,5.0,2.0,2.0,75006,1139999.0,63.0
Paris 6th - Saint-Germain-des-PrÃ©s / Rue Bonaparte,1217391.0,1993.0,Apartments,667.0,1722.0,5.0,1.0,2.0,75006,1119999.0,61.0
DERNIER ETAGE - VUE TOUS MONUMENTS,1201087.0,1955.0,Apartments,882.0,2045.0,4.0,2.0,2.0,75016,1105000.0,81.0
Apartment,1195652.0,1900.0,Apartments,807.0,2614.5196078431372,3.0,2.0,2.0,75016,1099999.0,74.0
Paris XVIII- Triplex avec Terrasse,1184783.0,1930.0,Apartments,1001.0,1355.0,5.0,3.0,2.0,75018,1090000.0,92.0
Paris XVI - Victor Hugo Foch - perfect 'Pied Ã terre',1152174.0,1974.0,Apartments,656.0,2614.5196078431372,2.0,1.0,3.0,75116,1060000.0,60.0
MarchÃ© Ordener - Villa Montcalm,1135870.0,1930.0,Apartments,1076.0,1304.0,5.0,3.0,2.0,75018,1045000.0,98.0
Apartment,1086957.0,1989.0,Apartments,613.0,1723.0,5.0,1.0,2.0,75007,1000000.0,56.0
"Village Faidherbe, mixed-use workshop-loft rehabilitated into 4 rooms.",1081522.0,1890.0,Apartments,957.0,2614.5196078431372,4.0,2.0,2.0,75011,995000.0,88.0
Exelmans- Rue de Civry-Rue de Varize. Beautiful family apartment for sale,1081522.0,1960.0,Apartments,1140.0,1888.0,5.0,3.0,3.0,75016,995000.0,104.0
Apartment,1076087.0,1850.0,Apartments,699.0,805.0,3.0,2.0,2.0,75003,990000.0,64.0
CafÃ© de Flore-Eglise Saint-Germain,1065217.0,1999.0,Apartments,667.0,2614.5196078431372,5.0,1.0,2.0,75006,979999.0,61.0
"Saint Thomas d'Aquin, bright and calm pied-Ã -terre.",1065217.0,1880.0,Apartments,538.0,2614.5196078431372,2.0,1.0,2.0,75007,979999.0,49.0
Duplex,1043478.0,1800.0,Apartments,785.0,918.0,5.0,3.0,4.0,75004,959999.0,72.0
APPARTEMENT FAMILIAL ENSOLEILLE - BALCON ET VUE DEGAGEE,1032609.0,1959.0,Apartments,807.0,1413.0,4.0,3.0,2.0,75016,950000.0,74.0
Paris 8th - Avenue des Champs ElysÃ©es,1027174.0,1971.0,Apartments,624.0,2614.5196078431372,2.0,1.0,2.0,75008,945000.0,57.0
Apartment,1010870.0,1860.0,Apartments,667.0,984.0,3.0,2.0,2.0,75002,930000.0,61.0
Paris IX Charming apartment with balcony and unobstructed views,994565.0,1900.0,Apartments,688.0,1003.0,5.0,2.0,3.0,75009,914999.0,63.0
Jasmine-Mozart - Beautiful apartment of 90.74 sq.m,978261.0,1953.0,Apartments,979.0,2253.0,5.0,2.0,1.0,75016,900000.0,90.0
Paris 14 / Montparnasse. 4 piÃ¨ces 3 chambres au 17Ã¨me et dernier Ã©tage,977174.0,1966.0,Apartments,904.0,822.0,5.0,2.0,2.0,75014,899000.0,83.0
Paris XI - EXCLUSIVITY - Magnificent renovated apartment with a large terrace,977174.0,2002.0,Apartments,688.0,2614.5196078431372,5.0,1.0,2.0,75011,899000.0,63.0
Magnificent newly renovated loft - Jules Joffrin,961957.0,2015.0,Apartments,699.0,1267.0,5.0,2.0,2.0,75018,885000.0,64.0
Apartment in Paris 15th - Beaugrenelle,961957.0,1963.0,Apartments,430.0,1203.0,1.0,1.0,1.0,75015,885000.0,39.0
Charming Haussmannian apartment,956522.0,1890.0,Apartments,645.0,2614.5196078431372,4.0,2.0,1.0,75005,880000.0,59.0
Ã‰cole Militaire,950000.0,1942.0,Apartments,624.0,1529.0,5.0,1.0,2.0,75007,874000.0,57.0
Apartment,923913.0,1820.0,Apartments,968.0,434.0,5.0,2.0,2.0,75009,849999.0,89.0
ExclusivitÃ© 3 piÃ¨ces 2 chambres de 67mÂ² carrez et Jardin de 180mÂ²,913043.0,1975.0,Apartments,2669.0,2614.5196078431372,3.0,2.0,2.0,75020,839999.0,245.0
9th and top floor with 180Â° terrace overlooking Paris,869565.0,1972.0,Apartments,904.0,1812.0,4.0,2.0,2.0,75020,799999.0,83.0
Charming 3-room apartment with balcony - Saint Ferdinand - Paris 17th,869565.0,1925.0,Apartments,721.0,2614.5196078431372,3.0,1.0,2.0,75017,799999.0,66.0
Appartement 2 chambres Place des Vosges,847826.0,1780.0,Apartments,688.0,1571.0,3.0,2.0,1.0,75004,779999.0,63.0
Appartement familial - Paris XVI,847826.0,1968.0,Apartments,753.0,963.0,3.0,2.0,3.0,75016,779999.0,69.0
Apartment,846739.0,1800.0,Apartments,559.0,2614.5196078431372,2.0,1.0,1.0,75003,778999.0,51.0
3 rooms renovated - Villiers/Batignolles,815217.0,1990.0,Apartments,731.0,1522.0,3.0,2.0,1.0,75017,749999.0,67.0
Paris 2nd - Montorgueil - Elegant pied-Ã -terre renovated in a private mansion,815217.0,1770.0,Apartments,344.0,674.0,2.0,1.0,1.0,75002,749999.0,31.0
Flat with a view over the roofs of Paris - Paris 4th - Saint-Paul,815217.0,1875.0,Apartments,592.0,2614.5196078431372,3.0,1.0,2.0,75004,749999.0,54.0
Apartment,814130.0,1920.0,Apartments,775.0,1402.0,3.0,2.0,2.0,75015,748999.0,71.0
Apartment in Paris 5th - Notre Dame,809783.0,1763.0,Apartments,548.0,2614.5196078431372,2.0,1.0,2.0,75005,745000.0,50.0
Apartment in Paris 16th - Ranelagh,804348.0,1900.0,Apartments,678.0,2614.5196078431372,2.0,1.0,1.0,75016,740000.0,62.0
Montmartre : A two-room apartment with spectacular view on the SacrÃ©-Coeur,798913.0,1880.0,Apartments,462.0,933.0,5.0,1.0,1.0,75018,734999.0,42.0
3-room apartment overlooking Paris,782609.0,1972.0,Apartments,775.0,2614.5196078431372,3.0,1.0,1.0,75013,720000.0,71.0
Paris 3rd - Place des Vosges. Charming studio with balcony.,755435.0,1830.0,Apartments,592.0,492.0,1.0,3.0,1.0,75003,695000.0,54.0
Paris XVIII - Abbesses / Martyrs,717391.0,1880.0,Apartments,527.0,796.0,5.0,1.0,1.0,75018,659999.0,48.0
Charming 3-room apartment in excellent condition - Legendre/Epinettes,701087.0,1880.0,Apartments,592.0,2614.5196078431372,3.0,1.0,1.0,75017,645000.0,54.0
Charming 3-room apartment with balcony - marchÃ© Poncelet,701087.0,1850.0,Apartments,592.0,1323.0,3.0,1.0,1.0,75017,645000.0,54.0
Service spacious rooms to renovate - Rue de Grenelle,641304.0,1900.0,Apartments,592.0,2614.5196078431372,5.0,2.0,1.0,75007,589999.0,54.0
Renovated flat with open view - Paris 4th - Marais,635870.0,1860.0,Apartments,452.0,465.0,2.0,1.0,1.0,75004,585000.0,41.0
Saint-Germain-des-PrÃ©s,608696.0,1800.0,Apartments,312.0,2614.5196078431372,5.0,1.0,2.0,75006,560000.0,28.0
Saint-Germain-des-PrÃ©s,608696.0,1800.0,Apartments,312.0,641.0,5.0,1.0,2.0,75006,560000.0,28.0
"PARIS 17, MONCEAU PARK",597826.0,1900.0,Apartments,473.0,2614.5196078431372,5.0,1.0,2.0,75017,549999.0,43.0
House,596739.0,1880.0,Single Family Homes,441.0,635.0,5.0,1.0,2.0,75003,548999.0,40.0
Perfect Pied-Ã -terre in front of the Jardins du Luxembourg,576087.0,1964.0,Apartments,441.0,1274.0,5.0,1.0,2.0,75006,530000.0,40.0
Apartment,357609.0,1800.0,Apartments,236.0,2614.5196078431372,1.0,3.0,1.0,75003,329000.0,21.0
Paris 16th District - An ideal pied a terre,750000.0,1950.0,Apartments,591.16,2614.5196078431372,5.0,1.0,1.0,75016,690000.0,54.0
Paris 8th District - A perfect pied a terre,750000.0,1830.0,Apartments,432.82,2614.5196078431372,5.0,1.0,1.0,75008,690000.0,39.0
Paris 1st District - An ideal pied a terre,750000.0,1810.0,Apartments,366.94,2614.5196078431372,5.0,1.0,1.0,75001,690000.0,33.0
Paris 16th District - An ideal pied a terre,755435.0,1910.0,Apartments,538.2,2614.5196078431372,5.0,1.0,1.0,75016,695000.0,49.0
Paris 7th District - An ideal pied a terre,782609.0,1850.0,Apartments,519.79,2614.5196078431372,5.0,2.0,1.0,75007,720000.0,47.0
Paris 7th District - An ideal pied a terre,788043.0,1989.0,Apartments,527.44,2614.5196078431372,5.0,1.0,1.0,75007,724999.0,48.0
Paris 14th District - An ideal pied a terre,793478.0,1971.0,Apartments,653.59,2614.5196078431372,5.0,1.0,0.0,75016,729999.0,60.0
PARIS 5th district on Quai Saint Michel,809783.0,1700.0,Apartments,559.94,2614.5196078431372,5.0,1.0,1.0,75005,745000.0,51.0
Paris 7th District - An ideal pied a terre,826087.0,1900.0,Apartments,560.05,2614.5196078431372,5.0,1.0,1.0,75007,760000.0,51.0
Paris 16th District - A bright 2-bed apartment,858696.0,1962.0,Apartments,719.25,2614.5196078431372,5.0,2.0,1.0,75016,790000.0,66.0
Paris 6th District - A delightful pied a terre,858696.0,1900.0,Apartments,580.18,2614.5196078431372,5.0,1.0,1.0,75006,790000.0,53.0
Paris 15th District - An ideal pied a terre,867391.0,1929.0,Apartments,520.12,2614.5196078431372,5.0,2.0,1.0,75007,797999.0,47.0
Paris 15th District - An ideal pied a terre,880435.0,1995.0,Apartments,793.31,2614.5196078431372,5.0,2.0,1.0,75015,810000.0,72.0
Paris 16th District - An ideal pied a terre,896739.0,1900.0,Apartments,555.64,2614.5196078431372,5.0,1.0,1.0,75016,824999.0,51.0
Paris 6th District - An ideal pied a terre,896739.0,1610.0,Apartments,553.92,2614.5196078431372,5.0,1.0,1.0,75006,824999.0,50.0
Paris 6th District - A superb pied a terre with a garden,898913.0,1930.0,Apartments,339.07,2614.5196078431372,5.0,1.0,1.0,75006,826999.0,31.0
Paris 17th District - A bright 3-room apartment,902174.0,1955.0,Apartments,729.8,2614.5196078431372,5.0,2.0,1.0,75017,830000.0,67.0
Paris 6th District - A renovated pied a terre,908696.0,1850.0,Apartments,473.62,2614.5196078431372,5.0,1.0,1.0,75006,836000.0,43.0
Paris 6th District - An ideal pied a terre,918478.0,1998.0,Apartments,476.31,2614.5196078431372,5.0,1.0,1.0,75006,844999.0,43.0
Paris 16th District - A 2-bed apartment with two terraces,923913.0,1950.0,Apartments,793.52,2614.5196078431372,5.0,2.0,1.0,75016,849999.0,73.0
Paris 18th District - An ideal pied a terre,923913.0,1907.0,Apartments,684.7,2614.5196078431372,5.0,2.0,1.0,75018,849999.0,62.0
Paris 7th District - An ideal pied a terre,940217.0,1890.0,Apartments,691.26,2614.5196078431372,5.0,1.0,1.0,75007,864999.0,63.0
Paris 7th District - An ideal pied a terre,945652.0,1904.0,Apartments,839.59,2614.5196078431372,5.0,1.0,1.0,75015,869999.0,77.0
Paris 12th District - An elegant pied a terre,945652.0,1900.0,Apartments,1001.59,2614.5196078431372,5.0,1.0,1.0,75012,869999.0,92.0
Paris 6th District - An ideal pied a terre,951087.0,1730.0,Apartments,484.38,2614.5196078431372,5.0,1.0,1.0,75006,875000.0,44.0
Paris 9th District - An ideal pied a terre,956522.0,1880.0,Apartments,726.68,2614.5196078431372,5.0,2.0,1.0,75009,880000.0,66.0
Paris 9th District - An ideal pied a terre,967391.0,1840.0,Apartments,733.24,2614.5196078431372,5.0,2.0,1.0,75009,889999.0,67.0
Paris 6th District Top floor with a terrace.,970109.0,1730.0,Apartments,496.44,2614.5196078431372,5.0,1.0,1.0,75006,892500.0,45.0
Paris 4th District - A charming pied a terre,970652.0,1750.0,Apartments,678.35,2614.5196078431372,5.0,1.0,1.0,75004,892999.0,62.0
Paris 4th District - An ideal pied a terre,972826.0,1828.0,Apartments,646.59,2614.5196078431372,5.0,2.0,1.0,75004,894999.0,59.0
Paris 9th District - An ideal pied a terre,994565.0,1998.0,Apartments,733.03,2614.5196078431372,5.0,2.0,1.0,75009,914999.0,67.0
Paris 16th District - A 2-bed apartment in mint condition,1008696.0,1989.0,Apartments,945.08,2614.5196078431372,5.0,2.0,1.0,75016,928000.0,86.0
Paris 17th District - An atypical 3-bed apartment,1010870.0,1880.0,Apartments,799.55,2614.5196078431372,5.0,3.0,2.0,75017,930000.0,73.0
Paris 6th District - An ideal pied a terre,1021739.0,1930.0,Apartments,656.6,2614.5196078431372,5.0,1.0,1.0,75006,939999.0,60.0
"Paris,ÃŽle-de-France,France",1021739.0,1970.0,Apartments,678.35,2614.5196078431372,5.0,2.0,1.0,75016,939999.0,62.0
Paris 20th District - A bright and peaceful 2-bed apartment,1027174.0,1970.0,Apartments,813.0,2614.5196078431372,5.0,2.0,1.0,75020,945000.0,74.0
Paris 16th District - A 3-bed family apartment,1027174.0,1961.0,Apartments,975.11,2614.5196078431372,5.0,3.0,2.0,75016,945000.0,89.0
Paris 16th District - An elegant pied a terre,1027174.0,1904.0,Apartments,973.28,2614.5196078431372,5.0,2.0,1.0,75016,945000.0,89.0
Paris 16th District - A sunny 3-bed apartment,1032609.0,1959.0,Apartments,800.84,2614.5196078431372,5.0,3.0,1.0,75016,950000.0,73.0
Paris 6th District - An ideal pied a terre,1032609.0,1890.0,Apartments,552.41,2614.5196078431372,5.0,1.0,1.0,75006,950000.0,50.0
Paris 17th District - A bright 2-bed apartment,1032609.0,1970.0,Apartments,839.59,2614.5196078431372,5.0,2.0,1.0,75017,950000.0,77.0
Paris 16th District - A delightful pied a terre,1032609.0,1890.0,Apartments,581.26,2614.5196078431372,5.0,1.0,1.0,75016,950000.0,53.0
Paris 9th District - An ideal pied a terre,1054348.0,1998.0,Apartments,827.75,2614.5196078431372,5.0,2.0,1.0,75009,970000.0,76.0
"Paris 6th District - Saint-Germain-des-PrÃ©s, one bedroom flat in perfect condition.",1059783.0,1800.0,Apartments,472.86,2614.5196078431372,5.0,1.0,1.0,75006,975000.0,43.0
Paris 15th District - A 2-bed apartment commanding panoramic views,1065217.0,1970.0,Apartments,1054.87,2614.5196078431372,5.0,2.0,1.0,75015,979999.0,97.0
Paris 16th District - An ideal pied a terre,1065217.0,2001.0,Apartments,796.54,2614.5196078431372,5.0,2.0,0.0,75016,979999.0,73.0
Paris 7th District - An ideal pied a terre,1065217.0,1863.0,Apartments,531.1,2614.5196078431372,5.0,1.0,1.0,75007,979999.0,48.0
Paris 4th District - An ideal pied a terre in a prime location,1076087.0,1800.0,Apartments,674.15,2614.5196078431372,5.0,1.0,1.0,75004,990000.0,62.0
Paris 16th District - A 3-bd apartment,1076087.0,1979.0,Apartments,1085.98,2614.5196078431372,5.0,3.0,2.0,75016,990000.0,99.0
Paris 9th District - A 2/3 bed apartment enjoying open views,1076087.0,1885.0,Apartments,962.3,2614.5196078431372,5.0,2.0,1.0,75009,990000.0,88.0
Paris 17th District - A remarkable pied a terre,1081522.0,1890.0,Apartments,758.0,2614.5196078431372,5.0,1.0,1.0,75017,995000.0,69.0
Paris 1st District - An ideal pied a terre,1081522.0,1750.0,Apartments,746.7,2614.5196078431372,5.0,2.0,2.0,75001,995000.0,68.0
Paris 1st District - An ideal pied a terre,1083696.0,1800.0,Apartments,711.07,2614.5196078431372,5.0,1.0,1.0,75001,997000.0,65.0
Paris 7th District - An ideal pied a terre,1084239.0,1800.0,Apartments,494.71,2614.5196078431372,5.0,1.0,1.0,75007,997499.0,45.0
Paris 7th District - An ideal pied a terre,1086957.0,1989.0,Apartments,614.19,2614.5196078431372,5.0,1.0,1.0,75007,1000000.0,56.0
Paris 3rd District - A 67 sqm apartment to revamp,1095652.0,1750.0,Apartments,702.89,2614.5196078431372,5.0,1.0,1.0,75003,1007999.0,64.0
Paris 4th District - Two apartments with great potential,1108696.0,1650.0,Apartments,793.95,2614.5196078431372,5.0,2.0,3.0,75004,1020000.0,73.0
Paris 18th District - A 2-bed apartment enjoying an open view,1108696.0,1954.0,Apartments,835.93,2614.5196078431372,5.0,2.0,1.0,75018,1020000.0,76.0
Paris 5th District - A 2/3 bed apartment,1114130.0,1900.0,Apartments,840.02,2614.5196078431372,5.0,2.0,2.0,75005,1024999.0,77.0
Paris 5th District - A renovated 2-bed apartment,1125000.0,1890.0,Apartments,679.32,2614.5196078431372,5.0,2.0,0.0,75005,1035000.0,62.0
Paris 16th District - An ideal pied a terre,1130435.0,1959.0,Apartments,848.2,2614.5196078431372,5.0,1.0,1.0,75016,1040000.0,78.0
"Paris,ÃŽle-de-France,France",1130435.0,1995.0,Apartments,764.24,2614.5196078431372,5.0,2.0,2.0,75016,1040000.0,70.0
Paris 13th District - An ideal pied a terre,1141304.0,1900.0,Apartments,1014.94,2614.5196078431372,5.0,2.0,1.0,75013,1049999.0,93.0
Paris 4th District - A bright and elegant pied a terre,1141304.0,1880.0,Apartments,788.46,2614.5196078431372,5.0,1.0,1.0,75004,1049999.0,72.0
Paris 16th District - An ideal pied a terre,1141304.0,1880.0,Apartments,678.13,2614.5196078431372,5.0,2.0,0.0,75016,1049999.0,62.0
Paris 7th District - A renovated pied a terre,1141304.0,1897.0,Apartments,507.95,2614.5196078431372,5.0,1.0,1.0,75007,1049999.0,46.0
Paris 4th District - An ideal pied a terre,1141304.0,1785.0,Apartments,710.42,2614.5196078431372,5.0,2.0,2.0,75004,1049999.0,65.0
Paris 7th District - An ideal pied a terre,1152174.0,1800.0,Apartments,809.24,2614.5196078431372,5.0,2.0,1.0,75007,1060000.0,74.0
Paris XVIIe - MarchÃ© Lebon.,1163043.0,1911.0,Apartments,1047.12,2614.5196078431372,5.0,2.0,2.0,75017,1069999.0,96.0
Paris 6th District - An ideal pied a terre,1173913.0,1891.0,Apartments,678.13,2614.5196078431372,5.0,2.0,1.0,75006,1079999.0,62.0
Paris 16th District - A pied a terre with a terrace,1184783.0,2004.0,Apartments,771.35,2614.5196078431372,5.0,1.0,1.0,75016,1090000.0,70.0
Paris 4th District - A superb pied a terre,1195652.0,1637.0,Apartments,632.49,2614.5196078431372,5.0,1.0,1.0,75004,1099999.0,58.0
Paris 7th District - An ideal pied a terre,1195652.0,1905.0,Apartments,615.81,2614.5196078431372,5.0,1.0,1.0,75007,1099999.0,56.0
Paris 7th District - An ideal pied a terre,1195652.0,1920.0,Apartments,638.09,2614.5196078431372,5.0,2.0,1.0,75007,1099999.0,58.0
Paris 4th District - A superb pied a terre,1195652.0,1637.0,Apartments,632.49,2614.5196078431372,5.0,1.0,1.0,75004,1099999.0,58.0
Paris 7th District - An ideal pied a terre,1195652.0,1905.0,Apartments,615.81,2614.5196078431372,5.0,1.0,1.0,75007,1099999.0,56.0
Paris 6th District - An ideal pied a terre,1195652.0,1930.0,Apartments,497.3,2614.5196078431372,5.0,1.0,1.0,75006,1099999.0,45.0
Paris 17th District - An ideal pied a terre,1195652.0,1850.0,Apartments,667.37,2614.5196078431372,5.0,1.0,1.0,75017,1099999.0,61.0
Paris 7th District - An ideal pied a terre,1195652.0,1920.0,Apartments,638.09,2614.5196078431372,5.0,2.0,1.0,75007,1099999.0,58.0
Paris 16th District - A 3-bed dual-aspect apartment,1195652.0,1970.0,Apartments,1261.33,2614.5196078431372,5.0,3.0,2.0,75016,1099999.0,116.0
Paris 6th District - An ideal pied Ã terre in Saint-Germain-des-PrÃ©s,1217391.0,1994.0,Apartments,678.13,2614.5196078431372,5.0,1.0,0.0,75006,1119999.0,62.0
Paris 7th District - A 2-bed apartment with balconies,1222826.0,1964.0,Apartments,807.3,2614.5196078431372,5.0,2.0,1.0,75007,1124999.0,74.0
Paris 15th District - An ideal pied a terre,1228261.0,1995.0,Apartments,1131.3,2614.5196078431372,5.0,3.0,1.0,75015,1130000.0,104.0
Paris 16th District - A 3-bed family apartment,1239130.0,1900.0,Apartments,1254.44,2614.5196078431372,5.0,3.0,2.0,75016,1139999.0,115.0
Paris 18th District - Great potential in a prime location,1244565.0,1955.0,Apartments,883.72,2614.5196078431372,5.0,2.0,1.0,75018,1144999.0,81.0
Paris 16th District - A perfect pied a terre,1250000.0,1934.0,Apartments,365.98,2614.5196078431372,5.0,1.0,0.0,75016,1150000.0,33.0
