property_description,total_rooms,accomodation_size,property_size,location,rent_per_month
Cosy Furnished Apartment - 2 Rooms - 56m2 - Plaisance - Porte de Vanves - 75014 Paris,2,2,56.0, 14th Arrondissement,3147.0
Charming and Spacious 40m² Studio near Montparnasse | 14th District,1,4,40.0, 14th Arrondissement,2695.0
Stunning 64m² two-bedroom apartment just opposite Gare Montparnasse.,3,3,64.0, 14th Arrondissement,4222.0
Great & cozy studio,1,2,24.0, 14th Arrondissement,2000.0
Cozy and gorgeous flat close to park,1,2,28.0, 14th Arrondissement,2385.0
Cosy studio  - 14th arrondissement,1,2,22.0, 14th Arrondissement,2222.0
"Two-Room Apartment with Balcony in Plaisance, 14th Arrondissement, Paris",2,2,33.0, 14th Arrondissement,1888.0
Furnished Appartment - 3 Rooms - 70m² - Montparnasse,3,4,70.0, 14th Arrondissement,3910.0
Discovering Paris' Calm and Serene Family District: Exploring the 15th Arrondissement,1,1,11.0, 14th Arrondissement,1444.0
Luxembourg - Assas - 3 Bedrooms,3,4,95.0, 14th Arrondissement,10200.0
Quiet furnished apartment rental overlooking the garden,1,2,28.0, 14th Arrondissement,1600.0
Malakoff - Lovely studio near Paris Expo Porte de Versailles,1,2,16.0, 14th Arrondissement,2263.0
Malakoff - Lovely studio with terrace near Paris Expo Porte de Versailles,1,2,16.0, 14th Arrondissement,2821.0
Quiet & wonderful home in Montrouge,3,5,69.0, 14th Arrondissement,3200.0
Cute & fantastic home close to city center (Paris),2,4,41.0, 14th Arrondissement,3000.0
Apartment 1 bedroom - 387 sf - clear and calm - Eiffel Tower view.,2,3,36.0, 14th Arrondissement,1950.0
Charming and furnished apartment in Paris 14th (2 bedrooms),3,4,41.0, 14th Arrondissement,2900.0
Elegant Apartment - Balcony - Brancion,2,2,50.0, 15th Arrondissement,3111.0
"Quiet, charming 2-room flat",2,2,44.0, 15th Arrondissement,2000.0
Amazing large flat with Eiffel Tower view,3,4,52.0, 15th Arrondissement,3000.0
Nice & gorgeous suite conveniently located,1,2,42.0, 15th Arrondissement,1800.0
Charming Studio Paris 15,1,2,26.0, 15th Arrondissement,1300.0
Gorgeous studio in the 16th district,1,1,24.0, 15th Arrondissement,1300.0
Apartment 37 m2 near the Parc des Expositions,1,2,37.0, 15th Arrondissement,1400.0
Cozy apartment entirely renovated (15th district),2,2,22.0, 15th Arrondissement,1730.0
Fantastic and great home in Paris,2,2,30.0, 15th Arrondissement,1800.0
"Bright, quiet home in Bretten",3,5,69.0, 15th Arrondissement,4250.0
Charming and nice home in Invalides,4,5,111.0, 15th Arrondissement,5830.0
"Cosy, functional studio",1,1,11.0, 15th Arrondissement,850.0
ID 395 cozy studio in the 7th arrondissement,1,2,28.0, 15th Arrondissement,1790.0
Charming Two-Room Furnished Apartment with Eiffel Tower View,2,2,55.0, 15th Arrondissement,3842.0
Charming studio close to the Eiffel Tower with a fan,1,1,10.0, 15th Arrondissement,900.0
Charming apartment near Quais de Seine,3,4,69.0, 15th Arrondissement,6722.0
Furnished 4-room Apartment - Spacious and Stylish Living,4,9,92.0, 15th Arrondissement,4564.0
Rental Furnished flat - 4 rooms - 95m² - Montparnasse,4,6,95.0, 15th Arrondissement,4324.0
Beautiful loft in a nice area,3,6,78.0, 15th Arrondissement,4300.0
Magnificent flat 1BDR Rue du commerce,2,2,46.0, 15th Arrondissement,2812.0
Apartement Avenue de Versailles,3,2,85.0, 15th Arrondissement,3788.0
Elegant 76m² flat in the heart of the 15th arrondissement - Mobility lease,2,4,76.0, 15th Arrondissement,5889.0
Wonderful flat rue de la Convention,4,4,76.0, 15th Arrondissement,4300.0
Furnished Apartment for Rent - 3 Rooms - 74m2 - Auteuil - St Cloud,3,4,74.0, 15th Arrondissement,3861.0
"42m2 apartment with one bedroom in the 16th arrondissement, close to transportation.",2,2,42.0, 15th Arrondissement,2667.0
"Very nice flat, furnished with care with stunning view - EIFFEL TOWER",1,2,40.0, 15th Arrondissement,2056.0
Charm and Comfort in Vanves,1,2,26.0, 15th Arrondissement,1400.0
Quiet apartment in the heart of the 15e,2,2,55.0, 15th Arrondissement,2618.0
Artistic Charm in the City Skyline - 4 rooms - 90m²,4,4,90.0, 15th Arrondissement,6224.0
Stylish Vanves Oasis,1,2,26.0, 15th Arrondissement,1333.0
Charming Residence in Vanves,1,2,25.0, 15th Arrondissement,1333.0
ID 404 modern apartment with Eiffel Tower view in Avenue Lamballe / 16th arrondissement,1,4,70.0, 15th Arrondissement,4200.0
Elegant New Apartment with Balcony-16ème,2,2,52.0, 15th Arrondissement,3111.0
Cosy apartment close to Champ de Mars,2,2,42.0, 15th Arrondissement,3333.0
Studio in Montparnasse,1,2,47.0, 15th Arrondissement,3614.0
1-bedroom apartment close to the Eiffel Tower,2,2,55.0, 15th Arrondissement,3100.0
ID389 captivating apartment in the heart of Paris on Rue Bourgogne (7th arr.),2,4,28.0, 15th Arrondissement,2750.0
Charming flat - FELIX FAURE,2,2,29.0, 15th Arrondissement,2746.0
Eiffel Tower haven,1,2,52.0, 15th Arrondissement,3222.0
"Cute, beautiful apartment for 4 people next to eiffel tower with dyson fan",2,4,50.0, 15th Arrondissement,3490.0
34m2 flat near the Musée Bourdelle!,2,4,34.0, 15th Arrondissement,2611.0
"Charming Apartment for Rent with View Over Avenue Emile Zola, Paris",2,2,55.0, 15th Arrondissement,2778.0
Apartment 2 rooms - 40m² - Champ de Mars,2,2,40.0, 15th Arrondissement,2998.0
Chic 30m² Studio in Vanves,1,2,30.0, 15th Arrondissement,1400.0
beautiful beauséjour apt in the city,1,2,43.0, 15th Arrondissement,2280.0
Charming flat - Paris 15ème,2,2,40.0, 15th Arrondissement,3544.0
"Cosy, fully furnished flat",1,2,35.0, 15th Arrondissement,2111.0
Elegant apartment in the heart of the 4th arrondissement,1,2,40.0, 15th Arrondissement,2444.0
Apartment 2 rooms - 32m² - Champ de Mars,2,2,32.0, 15th Arrondissement,2321.0
Superb apartment - Pont de Grenelle,3,4,63.0, 15th Arrondissement,4000.0
ID 412 - cozy studio in the 15th,1,2,13.12, 15th Arrondissement,1500.0
Bright & Cozy Studio with Great Amenities | Close to Eiffel Tower,1,2,32.0, 15th Arrondissement,1850.0
"Charming 25m² apartment located in the 6th arrondissement, close to Le Bon Marché and the Luxembourg Gardens.",2,1,25.0, 15th Arrondissement,2300.0
Cosy little flat in Vaugirard,1,2,26.0, 15th Arrondissement,2050.0
Apartment 2 rooms - 35m² - Raspail - Sèvres- Babylone,2,2,35.0, 15th Arrondissement,2276.0
Cosy Furnished Apartment - 2 Rooms - 56m2 - Plaisance - Porte de Vanves - 75014 Paris,2,2,56.0, 15th Arrondissement,3147.0
Charming and Spacious 40m² Studio near Montparnasse | 14th District,1,4,40.0, 15th Arrondissement,2695.0
Studio in Auteuil,1,2,40.0, 15th Arrondissement,3739.0
Co-Living : 13m² Bedroom in the heart of Paris 16th Arrondissement,1,1,13.0, 15th Arrondissement,1611.0
Passy Trocadéro Chic,2,4,50.0, 15th Arrondissement,3700.0
Stunning 64m² two-bedroom apartment just opposite Gare Montparnasse.,3,3,64.0, 15th Arrondissement,4222.0
"54 m² Fully Renovated Apartment in the Necker District, 15th Arrondissement of Paris",2,2,54.0, 15th Arrondissement,2680.0
Charming 80m² Apartment | Central Location near Hôtel des Invalides & Champ de Mars,3,4,80.0, 15th Arrondissement,6333.0
Cozy 1BR Apartment with Convenient Access to Public Transportation - FELIX FAURE,2,3,32.0, 15th Arrondissement,2667.0
"Lovely 32m² apartment in the 7th arrondissement of Paris, ideal location",2,2,32.0, 15th Arrondissement,2889.0
Co-living: 16m² room,1,1,16.0, 15th Arrondissement,1122.0
"Charming modern apartment of 25m2,  located in one of the most elegant and prestigious neighborhoods of Paris.",2,2,25.0, 15th Arrondissement,2067.0
Cozy and gorgeous flat close to park,1,2,28.0, 15th Arrondissement,2385.0
Cosy studio  - 14th arrondissement,1,2,22.0, 15th Arrondissement,2222.0
"Cosy Studio of 14m2 in the 16th district, close to transport",1,2,14.0, 15th Arrondissement,1894.0
"Two-Room Apartment with Balcony in Plaisance, 14th Arrondissement, Paris",2,2,33.0, 15th Arrondissement,1888.0
Rental Furnished flat - 3 rooms - 55m² - Quartier Latin,3,4,55.0, 15th Arrondissement,4453.0
ID 409 - one bedroom apartment in rue Lecourbe 15th arr,1,2,41.0, 15th Arrondissement,5000.0
Furnished Appartment - 3 Rooms - 70m² - Montparnasse,3,4,70.0, 15th Arrondissement,3910.0
ID 408 Charming & cozy apt in the 7th,1,4,25.0, 15th Arrondissement,2000.0
Studio 30m² : Portes de Versailles - Javel - Convention,1,2,30.0, 15th Arrondissement,2394.0
Apartment - 2 rooms- 30 sqm- Montparnasse,2,2,30.0, 15th Arrondissement,2174.0
70 m² 2 rooms flat  15mn walk from Tour Eiffel in a peaceful district,3,4,70.0, 15th Arrondissement,2700.0
2 bedrooms in Saint-Lambert,3,4,75.0, 15th Arrondissement,8000.0
"CHIC 1-BEDROOM APARTMENT IN PRIME LOCATION(OVERLOOKING PASSY PARC, STEPS FROM EIFFEL TOWER)",2,4,60.0, 15th Arrondissement,2700.0
Lovely bathed in light apartment in Paris,2,2,25.0, 15th Arrondissement,1250.0
Passy - Trocadero I 1 Bedroom,2,3,80.0, 15th Arrondissement,7800.0
Studio Meublé Haussmannien,1,1,22.0, 15th Arrondissement,1550.0
Charming Oasis in Vanves,2,4,24.0, 15th Arrondissement,2000.0
Cozy Studio in Paris' 16th District with Kitchenette and High-Speed Internet,1,1,10.0, 15th Arrondissement,1500.0
Perfect loft - great view!,2,2,52.0, 15th Arrondissement,3500.0
Tranquil Comfort in Vanves,1,2,25.0, 15th Arrondissement,1333.0
Cosy Studio 2pers. - Quais de Seine / Eiffel Tower,1,2,20.0, 15th Arrondissement,2466.0
Charming Studio in Vanves,1,2,26.0, 15th Arrondissement,1333.0
Fully furnished and ideally located studio,1,2,11.0, 15th Arrondissement,1728.0
Rental Furnished flat - 3 rooms - 63m² - Champ de Mars,3,3,63.0, 15th Arrondissement,6623.0
Discovering Paris' Calm and Serene Family District: Exploring the 15th Arrondissement,1,1,11.0, 15th Arrondissement,1444.0
Cosy Studio 2P / Parc Georges Brassens,1,2,15.0, 15th Arrondissement,2042.0
Cosy Studio 2P / Parc Georges Brassens,1,2,13.0, 15th Arrondissement,2042.0
Cosy studio near Quais de Seine,1,1,10.0, 15th Arrondissement,2222.0
"Charming Studio in the Heart of the 15th Arrondissement, Paris",1,2,35.0, 15th Arrondissement,2500.0
"Welcome Home: Charming Apartment, 5 minutes walk from Champ de Mars",3,6,65.0, 15th Arrondissement,3667.0
"""Community Living and Premium Accommodations: Where Comfort Meets Socializing",2,2,30.0, 15th Arrondissement,1866.0
Quiet & Neat Apartment in Vanves,1,2,25.0, 15th Arrondissement,1400.0
Quiet furnished apartment rental overlooking the garden,1,2,28.0, 15th Arrondissement,1600.0
Quiet flat near the Eiffel Tower,2,2,55.0, 15th Arrondissement,2778.0
Olympic Game 24 Paris Period - Shiny Clean Appartment near Paris Exposition Center - at the foot of Mairie d'Issy L12,2,4,28.0, 15th Arrondissement,1600.0
Stunning one bedroom flat in high end residence,2,2,40.0, 15th Arrondissement,2944.0
New fully-equiped apartment 41 sq.m with parking and balcony,2,2,41.0, 15th Arrondissement,1699.0
A Haven of Comfort: Furnished and Cozy 2-Room Apartment,3,2,55.0, 15th Arrondissement,3556.0
Art Deco - Tour Eiffel 180SQM 3br+balcony,4,5,100.0, 15th Arrondissement,6500.0
Charming apartment 16th District. Auteuil Mirabeau,2,4,44.0, 15th Arrondissement,2950.0
Cute & fantastic home close to city center (Paris),2,4,41.0, 15th Arrondissement,3000.0
Comfort and Convenience: Spacious 3-Room Apartment,3,2,50.0, 15th Arrondissement,3722.0
Cozy 2-Room Apartment: Feel at Home Instantly!,2,2,40.0, 15th Arrondissement,3056.0
Neat & modern home in Bretten,2,2,28.0, 15th Arrondissement,5300.0
Modern suite conveniently located,2,3,35.0, 15th Arrondissement,2000.0
Architect modern apartment 10 min from Eiffel Tower (with balcony),2,2,34.0, 15th Arrondissement,3400.0
Apartment 1 bedroom - 387 sf - clear and calm - Eiffel Tower view.,2,3,36.0, 15th Arrondissement,1950.0
Cosy 1 bedroom apartment in Paris 15,2,4,31.0, 15th Arrondissement,1700.0
Charming and furnished apartment in Paris 14th (2 bedrooms),3,4,41.0, 15th Arrondissement,2900.0
Paris 15th: Private Room near Eiffel Tower,1,1,10.0, 15th Arrondissement,1444.0
Studio in the 7th district Invalides,1,2,30.0, 15th Arrondissement,2500.0
Rent apartment in Paris during Olympic Games 2024,2,4,56.0, 15th Arrondissement,5000.0
Stylish Private Room with Balcony in Paris 14th,1,1,10.0, 15th Arrondissement,1444.0
Super flat in the heart of Paris,1,2,33.0, 15th Arrondissement,2630.0
"Furnished suite with alcove and garden view, rooftop, garden, gym, home cinema, cleaning and maintenance services in a new residence",1,2,26.0, 15th Arrondissement,2555.0
"Perfect, lovely studio with nice neighbours",1,2,25.0, 15th Arrondissement,1544.0
Superb flat in the heart of Paris,1,2,33.0, 15th Arrondissement,2630.0
"Nice, quiet and cosy studio in the heart of Paris and Olympic sites",1,3,31.0, 15th Arrondissement,5000.0
Cozy & Convivial: 30m2 Apartment in Vanves,1,2,30.0, 15th Arrondissement,1400.0
Functional and pleasant flat,3,6,140.0, 15th Arrondissement,4700.0
Fantastic and wonderful studio,1,2,19.0, 15th Arrondissement,2050.0
"Furnished studio with balcony, rooftop, garden, gym, home cinema, cleaning and maintenance services in a new residence",1,2,20.0, 15th Arrondissement,2150.0
"Furnished studio with garden view, rooftop, garden, gym, home cinema, cleaning and maintenance services in a new residence",1,2,22.0, 15th Arrondissement,2300.0
"Furnished suite with garden view, rooftop, garden, gym, home cinema, cleaning and maintenance services in a new residence",1,2,25.0, 15th Arrondissement,2600.0
"Modern, quiet apartment",1,2,30.0, 15th Arrondissement,3000.0
Superb Haussmannian type apartment,2,3,75.0, 15th Arrondissement,3222.0
"Furnished studio with large balcony, rooftop, garden, gym, home cinema, cleaning and maintenance services in a new residence",1,2,22.0, 15th Arrondissement,2475.0
Lovely studio in residence near the Eiffel Tower,1,2,18.0, 15th Arrondissement,4375.0
Modern apartment near the Eiffel Tower,2,2,25.0, 15th Arrondissement,4650.0
Beautiful studio in Paris 15,1,2,19.0, 15th Arrondissement,10000.0
Fantastic bright apartment,2,3,47.0, 15th Arrondissement,2150.0
STUDENT FLAT IN  BRETEUIL/INVALIDES/SEVRES LECOURBE,1,1,9.0, 15th Arrondissement,905.0
Elegant Apartment - Balcony - Brancion,2,2,50.0, 16th Arrondissement,3111.0
"Quiet, charming 2-room flat",2,2,44.0, 16th Arrondissement,2000.0
Gorgeous studio in the 16th district,1,1,24.0, 16th Arrondissement,1300.0
"Bright, quiet home in Bretten",3,5,69.0, 16th Arrondissement,4250.0
Fantastic and great home in Paris,2,2,30.0, 16th Arrondissement,1800.0
Amazing large flat with Eiffel Tower view,3,4,52.0, 16th Arrondissement,3000.0
Charming 2bedroom in a Hausmannian peaceful building Paris district 16th,3,4,65.0, 16th Arrondissement,3816.0
"Cosy, functional studio",1,1,11.0, 16th Arrondissement,850.0
Charming studio close to the Eiffel Tower with a fan,1,1,10.0, 16th Arrondissement,900.0
Studio Villaret – Place de L’Etoile,1,1,15.0, 16th Arrondissement,1400.0
Charming apartment near Quais de Seine,3,4,69.0, 16th Arrondissement,6722.0
Furnished 4-room Apartment - Spacious and Stylish Living,4,9,92.0, 16th Arrondissement,4564.0
Beautiful loft in a nice area,3,6,78.0, 16th Arrondissement,4300.0
apt climatisé luxury Champs Elysées,3,6,100.0, 16th Arrondissement,5730.0
Luminous property is a spacious 105m2 2 bedroom 2 bathroom,3,4,105.0, 16th Arrondissement,5880.0
Wonderful apartment 6P -Passy Trocadero,3,6,67.0, 16th Arrondissement,3150.0
Magnificent flat 1BDR Rue du commerce,2,2,46.0, 16th Arrondissement,2812.0
Apartement Avenue de Versailles,3,2,85.0, 16th Arrondissement,3788.0
Elegant 76m² flat in the heart of the 15th arrondissement - Mobility lease,2,4,76.0, 16th Arrondissement,5889.0
Charming Studio - HenriMartin/Trocadero,1,2,20.0, 16th Arrondissement,1517.0
"Lovely and neat flat in excellent location, Boulogne-Billancourt",1,1,26.0, 16th Arrondissement,1200.0
Wonderful flat rue de la Convention,4,4,76.0, 16th Arrondissement,4300.0
Furnished Apartment for Rent - 3 Rooms - 74m2 - Auteuil - St Cloud,3,4,74.0, 16th Arrondissement,3861.0
Modern Comfort Haven,2,3,43.0, 16th Arrondissement,3222.0
"42m2 apartment with one bedroom in the 16th arrondissement, close to transportation.",2,2,42.0, 16th Arrondissement,2667.0
"Cozy 2BR apt in Paris-16th near shops restaurants & transport, newly renovated.  Sleeps up to 5.",3,4,70.0, 16th Arrondissement,3300.0
"Very nice flat, furnished with care with stunning view - EIFFEL TOWER",1,2,40.0, 16th Arrondissement,2056.0
Charming Studio in the heart of Paris - Close to the Champs-Élysées and the Eiffel Tower,1,2,20.0, 16th Arrondissement,1778.0
"Co-living : 12m² bedroom, fully furnished.",1,1,12.0, 16th Arrondissement,1233.0
1 bedroom apartment between Ternes and Porte Maillot,2,2,55.0, 16th Arrondissement,2618.0
Quiet apartment in the heart of the 15e,2,2,55.0, 16th Arrondissement,2618.0
Elegant 2BDR  Apartment with Haussmannian Charm - Flandrin / Rue de la pompe,3,6,45.0, 16th Arrondissement,3111.0
ID 404 modern apartment with Eiffel Tower view in Avenue Lamballe / 16th arrondissement,1,4,70.0, 16th Arrondissement,4200.0
Elegant New Apartment with Balcony-16ème,2,2,52.0, 16th Arrondissement,3111.0
Cosy apartment close to Champ de Mars,2,2,42.0, 16th Arrondissement,3333.0
1-bedroom apartment close to the Eiffel Tower,2,2,55.0, 16th Arrondissement,3100.0
Magnificent flat 2P - Auteuil / Saint Cloud,2,2,50.0, 16th Arrondissement,3056.0
Charming Cozy Studio: Smartly Designed 9m2 Retreat,1,2,9.0, 16th Arrondissement,1178.0
Co-living : Very large 18m² bedroom,1,1,18.0, 16th Arrondissement,1439.0
Charming flat - FELIX FAURE,2,2,29.0, 16th Arrondissement,2746.0
Eiffel Tower haven,1,2,52.0, 16th Arrondissement,3222.0
"Cute, beautiful apartment for 4 people next to eiffel tower with dyson fan",2,4,50.0, 16th Arrondissement,3490.0
"Charming Apartment for Rent with View Over Avenue Emile Zola, Paris",2,2,55.0, 16th Arrondissement,2778.0
beautiful beauséjour apt in the city,1,2,43.0, 16th Arrondissement,2280.0
Charming flat - Paris 15ème,2,2,40.0, 16th Arrondissement,3544.0
"Cosy, fully furnished flat",1,2,35.0, 16th Arrondissement,2111.0
Family apartment in the heart of the 16th – 2 bedrooms – 2 bathrooms,3,6,100.0, 16th Arrondissement,4777.0
Elegant apartment in the heart of the 4th arrondissement,1,2,40.0, 16th Arrondissement,2444.0
Apartment 2 rooms - 32m² - Champ de Mars,2,2,32.0, 16th Arrondissement,2321.0
Superb apartment - Pont de Grenelle,3,4,63.0, 16th Arrondissement,4000.0
ID 412 - cozy studio in the 15th,1,2,13.12, 16th Arrondissement,1500.0
Modern & cozy suite in vibrant neighbourhood,3,2,25.0, 16th Arrondissement,1900.0
Co-living : Fully furnished 15m² bedroom,1,1,15.0, 16th Arrondissement,1406.0
1-bedroom located in the golden triangle of Paris,2,3,80.0, 16th Arrondissement,4920.0
Modern studio - MONTEVIDEO/PORTE DAUPHINE,1,2,23.0, 16th Arrondissement,1644.0
Co-living : 14m² room in 16 arr.,1,1,14.0, 16th Arrondissement,1106.0
Cosy little flat in Vaugirard,1,2,26.0, 16th Arrondissement,2050.0
Charming Apartment with Stunning Views,2,2,22.0, 16th Arrondissement,2094.0
Studio with balcony in Porte Dauphine,1,2,46.0, 16th Arrondissement,3865.0
Studio of 33m2 located at only 14 minutes walk from the famous Trocadero square.,1,2,33.0, 16th Arrondissement,2556.0
Studio in Auteuil,1,2,40.0, 16th Arrondissement,3739.0
Cosy 18m2 studio.,1,2,18.0, 16th Arrondissement,1944.0
Stylish and nicely furnished apartment with plenty of storage space,2,2,32.0, 16th Arrondissement,2389.0
Co-Living : 13m² Bedroom in the heart of Paris 16th Arrondissement,1,1,13.0, 16th Arrondissement,1611.0
"Amazing & fantastic flat, Paris",2,2,65.0, 16th Arrondissement,5340.0
Beautiful furnished room close to the Eiffel Tower.,1,5,18.0, 16th Arrondissement,1444.0
Elegant and Fully Equipped Apartment for a Memorable Stay,3,6,100.0, 16th Arrondissement,5611.0
Passy Trocadéro Chic,2,4,50.0, 16th Arrondissement,3700.0
Studio Victor H - Place de l'Etoile,1,1,18.0, 16th Arrondissement,1944.0
Charming apartment in Vanves !,1,2,30.0, 16th Arrondissement,1400.0
Cosy Studio Place Victor Hugo,1,2,27.0, 16th Arrondissement,2344.0
Studio 26m² - Champs Elysées - Etoile,1,2,26.0, 16th Arrondissement,2076.0
Fantastic and amazing studio (Suresnes),2,2,46.0, 16th Arrondissement,1750.0
Charming apartment - TERNES/ARC DE TRIOMPHE,3,3,57.0, 16th Arrondissement,4889.0
RAPHAËL SUITE – LA MUETTE – OECD AREA,3,6,148.0, 16th Arrondissement,15000.0
Cozy 1BR Apartment with Convenient Access to Public Transportation - FELIX FAURE,2,3,32.0, 16th Arrondissement,2667.0
Charming Studio in the Heart of Paris' Chic 16th Arrondissement,1,4,33.0, 16th Arrondissement,2556.0
Superb 20m² studio in Neuilly sur Seine,1,2,20.0, 16th Arrondissement,2000.0
Completely renovated and ideally located room,1,1,10.0, 16th Arrondissement,1067.0
Studio Pergolese - Porte Maillot,1,1,22.0, 16th Arrondissement,1889.0
Bright 1-bedroom apartment located on the 16th district,2,2,49.0, 16th Arrondissement,3600.0
"Charming modern apartment of 25m2,  located in one of the most elegant and prestigious neighborhoods of Paris.",2,2,25.0, 16th Arrondissement,2067.0
Lovely apartment in a calm property,2,2,45.0, 16th Arrondissement,2656.0
"Cosy Studio of 14m2 in the 16th district, close to transport",1,2,14.0, 16th Arrondissement,1894.0
"Spacious Three-Room Apartment in Trocadéro, 16th Arrondissement, Paris",3,3,82.0, 16th Arrondissement,4333.0
1 room in Trocadéro (16 Arr.),1,2,28.0, 16th Arrondissement,3335.0
"45 m² Two-Room Apartment in the Ternes District, 17th Arrondissement of Paris",2,2,45.0, 16th Arrondissement,2500.0
Stylish 30m² Apartment with Eiffel Tower Views in Paris' Prestigious 16th District and Convenient Public Transportation,2,2,50.0, 16th Arrondissement,4222.0
ID 409 - one bedroom apartment in rue Lecourbe 15th arr,1,2,41.0, 16th Arrondissement,5000.0
Rental Furnished Appartment - 3 Rooms - 62m²,2,3,62.0, 16th Arrondissement,4556.0
Charming studio overlooking the Bois de Boulogne,2,2,34.0, 16th Arrondissement,2000.0
Studio 30m² : Portes de Versailles - Javel - Convention,1,2,30.0, 16th Arrondissement,2394.0
Paris 16th: Awesome and bright studio,1,1,21.0, 16th Arrondissement,2222.0
Luxury Apartment Paris Trocadero,2,2,32.0, 16th Arrondissement,2200.0
50m² flat nestled between the Champs-Élysées and the Arc de Triomphe.,2,1,50.0, 16th Arrondissement,4667.0
Cosy studio in the most bourgeois district of Paris,1,1,11.0, 16th Arrondissement,1333.0
70 m² 2 rooms flat  15mn walk from Tour Eiffel in a peaceful district,3,4,70.0, 16th Arrondissement,2700.0
"CHIC 1-BEDROOM APARTMENT IN PRIME LOCATION(OVERLOOKING PASSY PARC, STEPS FROM EIFFEL TOWER)",2,4,60.0, 16th Arrondissement,2700.0
Stunning studio - Champs Elysées,1,2,15.0, 16th Arrondissement,1833.0
Lovely bathed in light apartment in Paris,2,2,25.0, 16th Arrondissement,1250.0
Amazing flat near Trocadero,2,2,55.0, 16th Arrondissement,4556.0
Passy - Trocadero I 1 Bedroom,2,3,80.0, 16th Arrondissement,7800.0
Lovely Studio with balcony - 16th arrd,1,2,15.0, 16th Arrondissement,1667.0
Studette **CLIM & View of the Eiffel Tower** / Victor Hugo,1,2,10.0, 16th Arrondissement,2078.0
Spacious and Bright 99m² Apartment in the Chic Suburb of Neuilly-sur-Seine,4,6,99.0, 16th Arrondissement,7866.0
Cozy Studio in Paris' 16th District with Kitchenette and High-Speed Internet,1,1,10.0, 16th Arrondissement,1500.0
Perfect loft - great view!,2,2,52.0, 16th Arrondissement,3500.0
Cosy Studio 2pers. - Quais de Seine / Eiffel Tower,1,2,20.0, 16th Arrondissement,2466.0
Cosy studio in the 16th district with a splendid view on the roofs of Paris!,1,1,10.0, 16th Arrondissement,1667.0
Charming Studio in the Heart of the 17th District - Only a Short Stroll Away from the Iconic Arc de Triomphe!,1,2,11.0, 16th Arrondissement,1506.0
Rental Furnished flat - 3 rooms - 63m² - Champ de Mars,3,3,63.0, 16th Arrondissement,6623.0
Neuilly sur Seine - Illuminated 110m² Apartment on the 3rd Floor with Elevator,3,5,110.0, 16th Arrondissement,8444.0
Cosy Studio 2P / Parc Georges Brassens,1,2,15.0, 16th Arrondissement,2042.0
Charming 16m² Studio 15 Minutes Walk from the Famous Place du Trocadero,1,2,16.0, 16th Arrondissement,2556.0
Cosy Studio 2P / Parc Georges Brassens,1,2,13.0, 16th Arrondissement,2042.0
Cosy studio near Quais de Seine,1,1,10.0, 16th Arrondissement,2222.0
Beautiful apartment in the heart of the 16th arrondissement,4,6,142.0, 16th Arrondissement,13333.0
"Welcome Home: Charming Apartment, 5 minutes walk from Champ de Mars",3,6,65.0, 16th Arrondissement,3667.0
Great & nice studio with nice neighbours,2,2,75.0, 16th Arrondissement,4950.0
Beautifully Renovated Duplex with Mezzanine and Great Location in Paris,1,4,20.0, 16th Arrondissement,2000.0
