property_description,total_rooms,accomodation_size,property_size,location,rent_per_month
Modern and Comfortable Paris 16th,2,2,50.0, 16th Arrondissement,2500.0
Very quiet flat a stone's throw from La Défense,2,2,48.0, 16th Arrondissement,1600.0
Charming apartment 16th District. Auteuil Mirabeau,2,4,44.0, 16th Arrondissement,2950.0
An Urban Cocoon,1,2,37.0, 16th Arrondissement,2389.0
Neat & modern home in Bretten,2,2,28.0, 16th Arrondissement,5300.0
Lovely one bedroom flat in the center of Puteaux near la Défense,2,2,42.0, 16th Arrondissement,2944.0
"Neat, beautiful apartment  of two bedrooms (Puteaux)",3,2,64.0, 16th Arrondissement,3611.0
"Charming, bright home, Boulogne-Billancourt",2,2,54.0, 16th Arrondissement,3700.0
Charming Apartment in the 16th Arrondissement of Paris,2,2,50.0, 16th Arrondissement,4222.0
Cute & renovated apartment in the heart of prestigious XVIe arrondissement,3,4,60.0, 16th Arrondissement,4400.0
Modern suite conveniently located,2,3,35.0, 16th Arrondissement,2000.0
Intergenerational Residence: Charming T3 with Spacious Common Areas,2,2,40.0, 16th Arrondissement,2889.0
Architect modern apartment 10 min from Eiffel Tower (with balcony),2,2,34.0, 16th Arrondissement,3400.0
Cosy 1 bedroom apartment in Paris 15,2,4,31.0, 16th Arrondissement,1700.0
Charm and Elegance in the 16th Arrondissement of Paris,2,2,61.0, 16th Arrondissement,5444.0
Upscale flat just a short walk from the Arc de Triomphe,3,5,80.0, 16th Arrondissement,6526.0
Quiet & gorgeous suite in the heart of town,1,6,67.0, 16th Arrondissement,5000.0
Paris 15th: Private Room near Eiffel Tower,1,1,10.0, 16th Arrondissement,1444.0
"Quiet appartment, with view on a garden",3,4,84.0, 16th Arrondissement,3075.0
Luxury Retreat,4,8,293.0, 16th Arrondissement,22000.0
Super flat in the heart of Paris,1,2,33.0, 16th Arrondissement,2630.0
Luxury apartment 1 min from Eiffel Tower,2,2,42.0, 16th Arrondissement,4850.0
Superb flat in the heart of Paris,1,2,33.0, 16th Arrondissement,2630.0
"Nice, quiet and cosy studio in the heart of Paris and Olympic sites",1,3,31.0, 16th Arrondissement,5000.0
Luxury Retreat,4,8,260.0, 16th Arrondissement,25000.0
Functional and pleasant flat,3,6,140.0, 16th Arrondissement,4700.0
Luxury Retreat,4,8,220.0, 16th Arrondissement,20000.0
Luxurious flat with a view on the Bois de Boulogne,7,8,200.0, 16th Arrondissement,14000.0
"Modern, quiet apartment",1,2,30.0, 16th Arrondissement,3000.0
Charming 3 Bedroom Triplex in the heart of Boulogne,3,6,115.0, 16th Arrondissement,20000.0
Beautiful Independent Flat in Paris,2,2,35.0, 17th Arrondissement,1850.0
Quiet city-centre flat in Clichy-la-Garenne,1,3,50.0, 17th Arrondissement,2000.0
Cozy studio in the 17th arrondissement,1,1,9.0, 17th Arrondissement,620.0
Awesome suite conveniently located,2,4,50.0, 17th Arrondissement,2650.0
Studio Villaret – Place de L’Etoile,1,1,15.0, 17th Arrondissement,1400.0
apt climatisé luxury Champs Elysées,3,6,100.0, 17th Arrondissement,5730.0
Luminous property is a spacious 105m2 2 bedroom 2 bathroom,3,4,105.0, 17th Arrondissement,5880.0
Modern Comfort Haven,2,3,43.0, 17th Arrondissement,3222.0
Co-living : Large 10 m² bedroom,1,1,10.0, 17th Arrondissement,933.0
Co-living : Large 10 m² bedroom,1,1,10.0, 17th Arrondissement,911.0
Charming Renovated Apartment with Elevator in a Historic Building - Spacious 4-Bedroom Gem,5,6,157.0, 17th Arrondissement,13111.0
"Nice, great apartment in the heart of town (Clichy)",2,3,35.0, 17th Arrondissement,1799.0
"Co-living : 12m² bedroom, fully furnished.",1,1,12.0, 17th Arrondissement,1233.0
1 bedroom apartment between Ternes and Porte Maillot,2,2,55.0, 17th Arrondissement,2618.0
"Discover this little urban gem in the heart of Paris's 9th arrondissement - modern and bright, it combines Parisian charm with comfort.",2,2,37.0, 17th Arrondissement,2667.0
"Modern suite conveniently located, Paris",2,5,60.0, 17th Arrondissement,2350.0
"Quiet apartment in Levallois, near Paris center",1,2,45.0, 17th Arrondissement,2617.0
Charming Studio of 11m2 located in the 17th district of Paris. Close to transport.,1,2,11.0, 17th Arrondissement,1678.0
Modern flat near Parc Monceau,1,2,40.0, 17th Arrondissement,3222.0
"Beautiful flat in the 17th arrondissement of Paris, avenue de Wagram, near the Arc de Triomphe",2,2,40.0, 17th Arrondissement,2333.0
Modern 5th Floor Apartment with Elevator Access,1,2,50.0, 17th Arrondissement,2889.0
Atypical apartment with balcony,1,2,36.0, 17th Arrondissement,3144.0
Chic Parisian Retreat: Modern Studio in the Heart of the 17th Arrondissement,1,2,35.0, 17th Arrondissement,2000.0
"Cute, charming flat in the 17th",3,4,90.0, 17th Arrondissement,4890.0
"Elegant 2-Bedroom Apartment with Eiffel Tower View | 15th District, Paris",1,2,25.0, 17th Arrondissement,1850.0
Co-living : Very large 18m² bedroom,1,1,18.0, 17th Arrondissement,1439.0
Beautiful City Apartment,2,2,35.0, 17th Arrondissement,2566.0
Nice parisian flat in trendy Batignolles neighborhood,2,2,40.0, 17th Arrondissement,1800.0
Charming Studio of 11m2 located in the 17th district of Paris. Close to transport.,1,2,11.0, 17th Arrondissement,1678.0
Co-living : Fully furnished 15m² bedroom,1,1,15.0, 17th Arrondissement,1406.0
Cosy appartment-Levallois/Perret,2,2,40.0, 17th Arrondissement,2078.0
Magnificent loft 2BDR-4pax Batignolles 2,3,4,75.0, 17th Arrondissement,5170.0
Movely studio well located,1,2,25.0, 17th Arrondissement,1600.0
Paris 17th: Bright apartment with balcony,2,2,32.0, 17th Arrondissement,3111.0
Modern Serenity Oasis in the Heart of the City,3,6,87.0, 17th Arrondissement,5000.0
Charming Studio near Parc Monceau,1,2,11.0, 17th Arrondissement,1556.0
"Cosy studio located in the 8th arrondissement of Paris, close to the Champs Elysées and the Arc de Triomphe.",1,2,18.0, 17th Arrondissement,1944.0
Stylish and nicely furnished apartment with plenty of storage space,2,2,32.0, 17th Arrondissement,2389.0
Caulaincourt Charm,1,2,73.0, 17th Arrondissement,4433.0
"Beautifully renovated studio for Rent in the 17th Arrondissement with Eiffel Tower view, Near Paris Sorbonne University!",1,2,20.0, 17th Arrondissement,1250.0
"Charming Studio Retreat in the Heart of Levallois-Perret: Comfort and Style""",1,2,19.0, 17th Arrondissement,2000.0
Little Haussmann,2,4,43.0, 17th Arrondissement,2300.0
Very nice studio 2 pers. / Batignolles - Nollet,1,2,27.0, 17th Arrondissement,2277.0
Flat located in great area,2,2,32.0, 17th Arrondissement,2556.0
Charming apartment - TERNES/ARC DE TRIOMPHE,3,3,57.0, 17th Arrondissement,4889.0
Apartment with Balcony in a Sleek Setting,1,2,34.0, 17th Arrondissement,2778.0
Charming 2 Bedroom Apartment Rue Lemercier,2,4,55.0, 17th Arrondissement,6000.0
Modern and Spacious Parisian Apartment in the 17th Arrondissement,3,4,61.0, 17th Arrondissement,4333.0
Batignolles - A charming 3 room apartment,2,3,50.0, 17th Arrondissement,2300.0
Studio Pergolese - Porte Maillot,1,1,22.0, 17th Arrondissement,1889.0
"Lovely, well-furnished studio in Clichy,",1,2,33.0, 17th Arrondissement,2667.0
Paris 9th: Cozy and Connected: 55m2 Apartment with Smart Amenities and Comfy Bedrooms,3,4,55.0, 17th Arrondissement,4556.0
"45 m² Two-Room Apartment in the Ternes District, 17th Arrondissement of Paris",2,2,45.0, 17th Arrondissement,2500.0
"Heart of Paris: Stylish 1BR with Elevator, WiFi & Modern Amenities",2,2,33.0, 17th Arrondissement,2778.0
"Levallois-Perret - Neat, perfect studio",1,1,9.0, 17th Arrondissement,1222.0
Cosy 2 Room apartment - Batignolles,2,2,34.0, 17th Arrondissement,2889.0
Rental Furnished Appartment - 3 Rooms - 62m²,2,3,62.0, 17th Arrondissement,4556.0
Superb 98m² Apartment - 8th Floor with Elevator in Levallois-Perret,7,5,98.0, 17th Arrondissement,5944.0
50m² flat nestled between the Champs-Élysées and the Arc de Triomphe.,2,1,50.0, 17th Arrondissement,4667.0
"Charming duplex 50m², Paris",2,2,50.0, 17th Arrondissement,2333.0
Suite Juliette - The Gate to Batignolles,3,6,118.0, 17th Arrondissement,10111.0
1 bedroom in Levallois-Perret,2,3,60.0, 17th Arrondissement,7200.0
Central Paris Apartment with Modern Amenities,2,2,40.0, 17th Arrondissement,3222.0
Cosy studio in the 16th district with a splendid view on the roofs of Paris!,1,1,10.0, 17th Arrondissement,1667.0
Charming Studio in the Heart of the 17th District - Only a Short Stroll Away from the Iconic Arc de Triomphe!,1,2,11.0, 17th Arrondissement,1506.0
155m² apartment in the 17th arrondissement of Paris.,5,8,155.0, 17th Arrondissement,15111.0
Studio FullEquiped 2 personnes avec balcon 17e,1,2,13.0, 17th Arrondissement,1600.0
Bright apartment 47 m2 Batignoles,2,2,47.0, 17th Arrondissement,2438.0
Charming two-bedroom apartment in Wagram Paris,2,1,80.0, 17th Arrondissement,1900.0
Amazing & wonderful apartment close to park,1,2,35.0, 17th Arrondissement,2500.0
Amazing apartment -Levis Market,2,2,46.0, 17th Arrondissement,3800.0
"Renovated Studio on Rue de Neuilly, Close to Levallois Clichy Station",1,2,22.0, 17th Arrondissement,1400.0
Paris Opéra - Amazing 1-BR Apartment in excellent location,2,4,40.0, 17th Arrondissement,6727.0
Paris Opéra - Amazing studio in excellent location,1,2,18.0, 17th Arrondissement,4247.0
Paris Opéra - Amazing large studio in excellent location,1,2,23.0, 17th Arrondissement,4867.0
Paris Opéra - Amazing Executive Duplex Apartment in excellent location,2,3,35.0, 17th Arrondissement,6107.0
Charming flat with a terrace close to everything!,2,4,53.0, 17th Arrondissement,2799.0
Pretty and awesome apartment in vibrant neighbourhood (Paris),3,4,60.0, 17th Arrondissement,3149.0
Parisian mini loft in the 17th,3,4,42.0, 17th Arrondissement,1750.0
Studio Batignolles,1,2,16.0, 17th Arrondissement,1300.0
Modern and gorgeous flat,2,2,25.0, 17th Arrondissement,1500.0
Upscale flat just a short walk from the Arc de Triomphe,3,5,80.0, 17th Arrondissement,6526.0
Appartement cosy 75017 Paris,3,3,35.0, 17th Arrondissement,2000.0
"Whole apartment : charming apartment - Paris, France4 travellers - 2 bedrooms - 3 beds - 1 bathroom home with nice neighbours, Paris",2,4,55.0, 17th Arrondissement,2500.0
Studio in the center of Batignolles,1,1,12.0, 17th Arrondissement,2200.0
Lovely studio in hotel residence,1,2,30.0, 17th Arrondissement,3158.0
"Charming, cozy & neat studio in Montmartre",1,2,21.0, 18th Arrondissement,1500.0
Cozy 1BR calm & design,2,3,30.0, 18th Arrondissement,1600.0
A cosy retreat in the 18th arrondissement,1,2,26.0, 18th Arrondissement,1889.0
Typical Montmartroise house,3,6,100.0, 18th Arrondissement,5500.0
ID375/New comfy studio 18th ARR,1,2,27.0, 18th Arrondissement,1550.0
Suite Pigalle – The Heart of Pigalle,1,2,46.0, 18th Arrondissement,4900.0
Beautiful flat Rosa Parks- La Villette in Paris,3,4,72.0, 18th Arrondissement,2112.0
Co-living : 14m² room,1,1,16.0, 18th Arrondissement,967.0
Charming Studio near Sacré-Coeur,1,2,25.0, 18th Arrondissement,1856.0
Co-living : 13m² bedroom,1,1,13.0, 18th Arrondissement,1033.0
"Kenzo - 3 bedrooms, terrace and balcony in Montmartre (18 Arr.)",1,5,103.0, 18th Arrondissement,6430.0
Cosy and bright studio - Lariboisière,1,2,22.0, 18th Arrondissement,1834.0
Charming Montmartre Haven: Ideal Parisian Retreat on Rue Véron,2,4,42.0, 18th Arrondissement,2556.0
Apartment in a quiet area near the Place des Abbesses,2,2,27.0, 18th Arrondissement,2067.0
Charming apartment in Montmartre,2,2,40.0, 18th Arrondissement,2644.0
Montmartre - Tertre 1 BD,2,2,45.0, 18th Arrondissement,3480.0
Lovely apartment near Canal Saint-Martin,3,4,76.0, 18th Arrondissement,4889.0
Charming Montmartre Getaway: Spacious Studio near Sacré Coeur with Parisian Charm,1,4,42.0, 18th Arrondissement,2550.0
Furnished studio- Montmartre/Sacré Coeur,1,2,18.0, 18th Arrondissement,1528.0
Charming apartment in the heart of Montmartre,2,2,60.0, 18th Arrondissement,2660.0
Vibrant Apartment in the 18th Arrondissement near Montmartre,2,4,27.0, 18th Arrondissement,2583.0
Love flat very well organized near Sacré Coeur,2,2,37.0, 18th Arrondissement,2333.0
Charming 2-Bedroom Furnished Apartment Near Montmartre,3,4,42.0, 18th Arrondissement,2400.0
Co-living : 10m² room,1,1,10.0, 18th Arrondissement,967.0
Charming flat in the heart of the 18th arrondissement of Paris,1,3,25.0, 18th Arrondissement,1667.0
"Studio renovate & luminous, Guy-Moquet /St-Ouen / Bichat",1,2,17.0, 18th Arrondissement,1222.0
Caulaincourt Charm,1,2,73.0, 18th Arrondissement,4433.0
Superb one bedroom - Montmartre/Sacré cœur,2,4,35.0, 18th Arrondissement,2310.0
Charming studio of 13m² on the 7th floor near Montmartre and the Goutte d'Or,1,2,13.0, 18th Arrondissement,1333.0
Charming Studio for Two,1,2,23.0, 18th Arrondissement,2000.0
Lovely 35m² Apartment near Sacré-Cœur and Montmartre,2,3,35.0, 18th Arrondissement,2778.0
Stylish 1-Bedroom Apartment with High-speed Internet and Great Location- Pigalle,2,2,40.0, 18th Arrondissement,2528.0
Charming flat in Montmartre,2,2,40.0, 18th Arrondissement,1800.0
Paris 9th: Cozy and Connected: 55m2 Apartment with Smart Amenities and Comfy Bedrooms,3,4,55.0, 18th Arrondissement,4556.0
"Studio in the heart of the Village des Abbesses, 7 minutes' walk from the Basilique du Sacré-Cœur de Montmartre",1,2,9.0, 18th Arrondissement,1222.0
"Beautiful sunny room with balcony in a flatshare, Paris 18e",3,1,48.0, 18th Arrondissement,755.0
Sublet Paris 18e July - August,3,1,47.0, 18th Arrondissement,755.0
Lovely & cozy apartment in the city center 3 mins from The Moulin Rouge,1,4,80.0, 18th Arrondissement,2950.0
"Charming duplex 50m², Paris",2,2,50.0, 18th Arrondissement,2333.0
"Charming 28m² Apartment on the 3rd Floor, Fully Equipped and Quiet",2,2,28.0, 18th Arrondissement,1378.0
Magnificent studio 15 minutes walk from Montmarte,1,2,13.0, 18th Arrondissement,989.0
Charming duplex with a view over the Sacré Coeur,3,3,55.0, 18th Arrondissement,2400.0
"Flat to rent in Montmartre district, Paris 18th",2,2,60.0, 18th Arrondissement,1750.0
Lovely one bedroom -  Sacré Cœur,2,2,37.0, 18th Arrondissement,2333.0
Great one bedroom flat with great view of Paris roofs,2,4,47.0, 18th Arrondissement,2900.0
"2 Bedroom Flat, with Sacre-Coeur View",3,4,48.0, 18th Arrondissement,5000.0
2 Bedroom flat close to Montmartre,3,4,47.0, 18th Arrondissement,5000.0
Quiet suite - great view!,3,2,35.0, 18th Arrondissement,2200.0
"Charming 33m² Apartment near Metro Pigalle, 10 Minutes to Sacré-Cœur",2,6,33.0, 18th Arrondissement,2500.0
Luxurious 2-bedroom Design Apartment in the heart of Paris' 10th arrondissement,2,5,70.0, 18th Arrondissement,5000.0
Cute & modern home with nice city view,1,2,50.0, 18th Arrondissement,3000.0
Chic Parisian Boudoir Studio,1,2,25.0, 18th Arrondissement,2122.0
Furnished flat rental paris 18 ideal for short/medium stays,1,1,21.0, 18th Arrondissement,1650.0
Fully refurbished flat (2 bedrooms) in Haussemann house in Montmartre area in quiet street,3,4,67.0, 18th Arrondissement,2599.0
Flat in the heart of the 18 arrondissement of Paris,2,2,33.0, 18th Arrondissement,1700.0
Awesome and wonderful home in the heart of town,2,3,50.0, 18th Arrondissement,50000.0
"Charming flat in private alley - Montmartre, Paris",2,3,50.0, 18th Arrondissement,12000.0
Studio parisien,1,2,14.0, 18th Arrondissement,3000.0
Awesome loft with nice city view,1,1,12.0, 18th Arrondissement,12000.0
Charmant appartement neuf Paris,3,2,39.0, 19th Arrondissement,1700.0
Beautiful flat Rosa Parks- La Villette in Paris,3,4,72.0, 19th Arrondissement,2112.0
Co-living: spacious 17 m² bedroom,1,1,17.0, 19th Arrondissement,1056.0
Superb apartment with great view - VELLEFAUX,3,5,51.0, 19th Arrondissement,3539.0
Co-living: 11 m² room,1,1,11.0, 19th Arrondissement,1033.0
Flat near La Villette,2,2,43.0, 19th Arrondissement,1800.0
Co-living: superb 11 m² bedroom,1,1,11.0, 19th Arrondissement,1056.0
Urban Elegance: Stylish 43m² Apartment with Double-Glazed Tranquility,2,2,43.0, 19th Arrondissement,2333.0
Cosy studio - View on the Canal de l'Ourcq,1,2,15.0, 19th Arrondissement,1367.0
Cosy Studio - Buttes Chaumont / Botzaris,1,2,15.0, 19th Arrondissement,1222.0
Charming and authentic 2-room apartment,2,2,36.0, 19th Arrondissement,1800.0
Beautiful Parisian loft front of the Canal,2,2,58.0, 19th Arrondissement,2080.0
Flat in the 19th arrondissement of Paris,2,2,33.0, 19th Arrondissement,2333.0
Co-living: 12 m² room.,1,1,11.0, 19th Arrondissement,1000.0
Buttes-Chaumont-Bright and lovely 1-BR apartment,2,2,48.0, 19th Arrondissement,2500.0
"Superb accommodation on Avenue de Flandre in a modern building, perfect for students or professionals",2,4,52.0, 19th Arrondissement,2750.0
Co-living: 9 m² room.,1,1,9.0, 19th Arrondissement,944.0
Co-living: charming 12 m² room,1,1,12.0, 19th Arrondissement,1000.0
Nice studio 2pers. / Quai de Jemmapes - Colonel Fabien,1,2,27.0, 19th Arrondissement,1889.0
"Cosy studio in the heart of Belleville, close to transport.",1,2,18.0, 19th Arrondissement,1556.0
"Cosy studio in the heart of Belleville, close to transportation.",1,2,15.0, 19th Arrondissement,1344.0
Bright studio - 19th arrondissement of Paris,1,2,28.0, 19th Arrondissement,2000.0
Charming Flat in Paris 19th,2,2,30.0, 19th Arrondissement,1778.0
"Magnificent flat located in the 10th district of Paris, surrounded by numerous shops and means of transport.",3,4,77.0, 19th Arrondissement,5556.0
Charming studio of 13m² on the 7th floor near Montmartre and the Goutte d'Or,1,2,13.0, 19th Arrondissement,1333.0
Charming Studio for Two,1,2,23.0, 19th Arrondissement,2000.0
3-bedroom family apartment in a typical neighborhood near Parc des Buttes Chaumont,4,6,92.0, 19th Arrondissement,4000.0
Spacious apartment - La Villette,2,2,60.0, 19th Arrondissement,3556.0
MAGNIFIQUE 3 PIECES MEUBLE  PISCINE SAUNA SALLE SPORT,3,4,70.0, 19th Arrondissement,3450.0
Paris Rosa Parks - Spacious 1-BR apartment,2,4,37.0, 19th Arrondissement,3255.0
"Huitième ciel Gorgeous, quiet apartment close to park",3,4,67.0, 19th Arrondissement,2600.0
Modern & fantastic apartment close to city center,2,4,45.0, 19th Arrondissement,2550.0
FURNISHED Studio - FROM MID APRIL UNTIL MID JULY 2024 FLAT OF 22 M2,1,2,22.0, 19th Arrondissement,1350.0
"Cozy, modern  Appartement",1,4,89.0, 19th Arrondissement,3100.0
Cosy duplex 4P- Buttes Chaumont,2,4,20.0, 19th Arrondissement,2273.0
Parisian Apartement at Belleville,3,2,60.0, 19th Arrondissement,3000.0
Apartment in the 19th arrondissement,1,1,30.0, 19th Arrondissement,2000.0
"Refurbished, streamlined apartment",3,2,61.0, 19th Arrondissement,2400.0
Cosy Little Studio Flat in Bohemian Paris,1,2,20.0, 19th Arrondissement,1300.0
Awesome and cute home in vibrant neighbourhood,2,20,202.0, 19th Arrondissement,15000.0
Luxury Paris,1,2,15.0, 19th Arrondissement,1695.0
Architect design loft located in a trendy neighborhood. 5 minutes walk away from an Olympic training swimming center.,5,5,170.0, 19th Arrondissement,10000.0
Charming apartment close to Canal Saint Martin,1,2,43.0, 19th Arrondissement,2800.0
Lovely Flat - Gambetta 2BR,3,4,63.0, 19th Arrondissement,2600.0
Modern studio with balcony at Les Buttes Chaumont,1,2,27.0, 19th Arrondissement,1850.0
Bright & awesome flat conveniently located (Paris),1,2,27.0, 19th Arrondissement,1490.0
Gorgeous & pretty apartment,4,8,89.0, 19th Arrondissement,5500.0
Lovely apartment near Buttes-Chaumont Parc,1,4,36.0, 19th Arrondissement,4000.0
Luxurious 2-bedroom Design Apartment in the heart of Paris' 10th arrondissement,2,5,70.0, 19th Arrondissement,5000.0
Studio parisien,1,2,14.0, 19th Arrondissement,3000.0
"Bright 2-Room flat, recently renovated, with double bed and living room near Nation with all appliances",2,2,43.0, 20th Arrondissement,2650.0
ATYPIQUE AND LUMINOUS T1,1,2,23.0, 20th Arrondissement,1600.0
"Nice duplex in the 11th arrondissement, Village Faidherbe",3,4,66.0, 20th Arrondissement,3400.0
Apartment in the 11th district of Paris,2,2,24.0, 20th Arrondissement,1380.0
"Cozy and bright apartment, Gambetta-Père Lachaise district",2,2,38.0, 20th Arrondissement,1700.0
Fantastic apartment in vibrant neighbourhood,2,3,34.0, 20th Arrondissement,1200.0
Judson - 2 Bedrooms and terrace in Charonne (11 Arr.),2,4,107.0, 20th Arrondissement,5244.0
Loft of 73m² - Quartier Oberkampf (Paris 11),2,5,73.0, 20th Arrondissement,3710.0
"Modern 50m2 flat, nestled in the cultural and dynamic heart of the 12th arrondissement.",2,4,50.0, 20th Arrondissement,3333.0
ID 422 - Roquette/ rue de la Folie Regnault,2,3,45.0, 20th Arrondissement,2100.0
Cosy Studio - Buttes Chaumont / Botzaris,1,2,15.0, 20th Arrondissement,1222.0
Beautiful studio in Paris XI,1,1,12.0, 20th Arrondissement,1200.0
Stunning 1 bedroom apartment of 33m2 located in the 20th arrondissement of Paris,2,2,33.0, 20th Arrondissement,2470.0
Spacious flat with balcony -11th arrondissement,5,6,84.0, 20th Arrondissement,4667.0
Spacious and Modern 52m² Apartment with Full Amenities in Prime Location,1,4,52.0, 20th Arrondissement,2500.0
2-room flat - Gare de Lyon,2,4,31.0, 20th Arrondissement,2094.0
"Charming Mezzanine Studio in the Heart of the 11th District, Paris",1,2,20.0, 20th Arrondissement,1636.0
Quiet apartment in vibrant neighbourhood,2,2,26.0, 20th Arrondissement,2333.0
Co-living : 11m² room,1,1,11.0, 20th Arrondissement,1122.0
Cristalinas - 2 rooms in Charonne (11 Arr.),1,4,74.0, 20th Arrondissement,4805.0
"Cosy studio in the heart of Belleville, close to transport.",1,2,18.0, 20th Arrondissement,1556.0
"Cosy studio in the heart of Belleville, close to transportation.",1,2,15.0, 20th Arrondissement,1344.0
Charming 1 bedroom in the 11th,1,2,38.0, 20th Arrondissement,2550.0
"Spacious, cozy home close to park",2,2,29.0, 20th Arrondissement,1900.0
2 bedroom 2 bathroom in the heart of the charming 12th,3,3,55.0, 20th Arrondissement,2893.0
Charming Studio in the Heart of Vibrant Paris,1,2,20.0, 20th Arrondissement,1778.0
3-bedroom family apartment in a typical neighborhood near Parc des Buttes Chaumont,4,6,92.0, 20th Arrondissement,4000.0
Furnished apartment 2 rooms - Gare de Lyon,2,2,31.0, 20th Arrondissement,2111.0
Charming 26m² Studio in the Heart of Paris' 11th Arrondissement,1,2,26.0, 20th Arrondissement,2178.0
Superb apartment at 1 min from Père Lachaise,3,5,65.0, 20th Arrondissement,4444.0
Super Studio bright - Gambetta,1,2,22.0, 20th Arrondissement,2121.0
"Very nice flat completely refurbished and decorated with taste, located in the heart of the 11th district of Paris.",2,2,34.0, 20th Arrondissement,2778.0
Stylish and Cozy Apartment with Private Balcony in MAUR,2,4,35.0, 20th Arrondissement,3089.0
41.Appart 4Pers#1 Bedroom #Père Lachaise #Nation,2,4,35.0, 20th Arrondissement,2400.0
Cozy Studio in the Heart of the City,1,2,30.0, 20th Arrondissement,2444.0
Paris Davout - Comfortable studio in the 20th district of the capital,1,2,19.0, 20th Arrondissement,2015.0
Super 2BDR w TERRACE - Charonne / Pere Lachaise,3,6,55.0, 20th Arrondissement,4444.0
"Huitième ciel Gorgeous, quiet apartment close to park",3,4,67.0, 20th Arrondissement,2600.0
"Lovely & amazing home Gambetta , near Pere Lachaise",2,2,35.0, 20th Arrondissement,1900.0
Cosy studio near Atelier des Lumières,1,2,14.0, 20th Arrondissement,1556.0
FURNISHED Studio - FROM MID APRIL UNTIL MID JULY 2024 FLAT OF 22 M2,1,2,22.0, 20th Arrondissement,1350.0
"Cozy, modern  Appartement",1,4,89.0, 20th Arrondissement,3100.0
Parisian Apartement at Belleville,3,2,60.0, 20th Arrondissement,3000.0
25m2 flat close to Nation - Paris 11,1,3,25.0, 20th Arrondissement,1600.0
"Refurbished, streamlined apartment",3,2,61.0, 20th Arrondissement,2400.0
Cosy Little Studio Flat in Bohemian Paris,1,2,20.0, 20th Arrondissement,1300.0
"Cozy Room in Spacious Apartment with Elevator Access – Mostly Private, Shared with Landlord Only 2 Days a Week",2,2,16.0, 20th Arrondissement,1150.0
Furnished studio,2,1,20.0, 20th Arrondissement,1500.0
Awesome and cute home in vibrant neighbourhood,2,20,202.0, 20th Arrondissement,15000.0
Architect design loft located in a trendy neighborhood. 5 minutes walk away from an Olympic training swimming center.,5,5,170.0, 20th Arrondissement,10000.0
"Spacious & quiet loft in nice area, Paris",2,2,44.0, 20th Arrondissement,2500.0
Nice location in 20th Paris near subway gambetta,2,2,42.0, 20th Arrondissement,1600.0
Lovely Flat - Gambetta 2BR,3,4,63.0, 20th Arrondissement,2600.0
Modern studio with balcony at Les Buttes Chaumont,1,2,27.0, 20th Arrondissement,1850.0
Lovely apartment near Buttes-Chaumont Parc,1,4,36.0, 20th Arrondissement,4000.0
Neat & cute Full furnish apartment  Paris 11eme,2,2,51.0, 20th Arrondissement,1990.0
Fashionable and fantastic suite in the heart of town,1,2,28.0, 20th Arrondissement,2200.0
Bright & charming loft,2,3,45.0, 20th Arrondissement,7500.0
