rooms,accomodation_size,area,arrondissement,rent
1,2,28.0, 14th Arrondissement,1600.0
1,2,16.0, 14th Arrondissement,2263.0
1,2,16.0, 14th Arrondissement,2821.0
3,5,69.0, 14th Arrondissement,3200.0
2,4,41.0, 14th Arrondissement,3000.0
2,3,36.0, 14th Arrondissement,1950.0
3,4,41.0, 14th Arrondissement,2900.0
2,2,50.0, 15th Arrondissement,3111.0
2,2,44.0, 15th Arrondissement,2000.0
3,4,52.0, 15th Arrondissement,3000.0
1,2,42.0, 15th Arrondissement,1800.0
1,2,26.0, 15th Arrondissement,1300.0
1,1,24.0, 15th Arrondissement,1300.0
1,2,37.0, 15th Arrondissement,1400.0
2,2,22.0, 15th Arrondissement,1730.0
2,2,30.0, 15th Arrondissement,1800.0
3,5,69.0, 15th Arrondissement,4250.0
4,5,111.0, 15th Arrondissement,5830.0
1,1,11.0, 15th Arrondissement,850.0
1,2,28.0, 15th Arrondissement,1790.0
2,2,55.0, 15th Arrondissement,3842.0
1,1,10.0, 15th Arrondissement,900.0
3,4,69.0, 15th Arrondissement,6722.0
4,9,92.0, 15th Arrondissement,4564.0
4,6,95.0, 15th Arrondissement,4324.0
3,6,78.0, 15th Arrondissement,4300.0
2,2,46.0, 15th Arrondissement,2812.0
3,2,85.0, 15th Arrondissement,3788.0
2,4,76.0, 15th Arrondissement,5889.0
4,4,76.0, 15th Arrondissement,4300.0
3,4,74.0, 15th Arrondissement,3861.0
2,2,42.0, 15th Arrondissement,2667.0
1,2,40.0, 15th Arrondissement,2056.0
1,2,26.0, 15th Arrondissement,1400.0
2,2,55.0, 15th Arrondissement,2618.0
4,4,90.0, 15th Arrondissement,6224.0
1,2,26.0, 15th Arrondissement,1333.0
1,2,25.0, 15th Arrondissement,1333.0
1,4,70.0, 15th Arrondissement,4200.0
2,2,52.0, 15th Arrondissement,3111.0
2,2,42.0, 15th Arrondissement,3333.0
1,2,47.0, 15th Arrondissement,3614.0
2,2,55.0, 15th Arrondissement,3100.0
2,4,28.0, 15th Arrondissement,2750.0
2,2,29.0, 15th Arrondissement,2746.0
1,2,52.0, 15th Arrondissement,3222.0
2,4,50.0, 15th Arrondissement,3490.0
2,4,34.0, 15th Arrondissement,2611.0
2,2,55.0, 15th Arrondissement,2778.0
2,2,40.0, 15th Arrondissement,2998.0
1,2,30.0, 15th Arrondissement,1400.0
1,2,43.0, 15th Arrondissement,2280.0
2,2,40.0, 15th Arrondissement,3544.0
1,2,35.0, 15th Arrondissement,2111.0
1,2,40.0, 15th Arrondissement,2444.0
2,2,32.0, 15th Arrondissement,2321.0
3,4,63.0, 15th Arrondissement,4000.0
1,2,13.12, 15th Arrondissement,1500.0
1,2,32.0, 15th Arrondissement,1850.0
2,1,25.0, 15th Arrondissement,2300.0
1,2,26.0, 15th Arrondissement,2050.0
2,2,35.0, 15th Arrondissement,2276.0
2,2,56.0, 15th Arrondissement,3147.0
1,4,40.0, 15th Arrondissement,2695.0
1,2,40.0, 15th Arrondissement,3739.0
1,1,13.0, 15th Arrondissement,1611.0
2,4,50.0, 15th Arrondissement,3700.0
3,3,64.0, 15th Arrondissement,4222.0
2,2,54.0, 15th Arrondissement,2680.0
3,4,80.0, 15th Arrondissement,6333.0
2,3,32.0, 15th Arrondissement,2667.0
2,2,32.0, 15th Arrondissement,2889.0
1,1,16.0, 15th Arrondissement,1122.0
2,2,25.0, 15th Arrondissement,2067.0
1,2,28.0, 15th Arrondissement,2385.0
1,2,22.0, 15th Arrondissement,2222.0
1,2,14.0, 15th Arrondissement,1894.0
2,2,33.0, 15th Arrondissement,1888.0
3,4,55.0, 15th Arrondissement,4453.0
1,2,41.0, 15th Arrondissement,5000.0
3,4,70.0, 15th Arrondissement,3910.0
1,4,25.0, 15th Arrondissement,2000.0
1,2,30.0, 15th Arrondissement,2394.0
2,2,30.0, 15th Arrondissement,2174.0
3,4,70.0, 15th Arrondissement,2700.0
3,4,75.0, 15th Arrondissement,8000.0
2,4,60.0, 15th Arrondissement,2700.0
2,2,25.0, 15th Arrondissement,1250.0
2,3,80.0, 15th Arrondissement,7800.0
1,1,22.0, 15th Arrondissement,1550.0
2,4,24.0, 15th Arrondissement,2000.0
1,1,10.0, 15th Arrondissement,1500.0
2,2,52.0, 15th Arrondissement,3500.0
1,2,25.0, 15th Arrondissement,1333.0
1,2,20.0, 15th Arrondissement,2466.0
1,2,26.0, 15th Arrondissement,1333.0
1,2,11.0, 15th Arrondissement,1728.0
3,3,63.0, 15th Arrondissement,6623.0
1,1,11.0, 15th Arrondissement,1444.0
1,2,15.0, 15th Arrondissement,2042.0
1,2,13.0, 15th Arrondissement,2042.0
1,1,10.0, 15th Arrondissement,2222.0
1,2,35.0, 15th Arrondissement,2500.0
3,6,65.0, 15th Arrondissement,3667.0
2,2,30.0, 15th Arrondissement,1866.0
1,2,25.0, 15th Arrondissement,1400.0
1,2,28.0, 15th Arrondissement,1600.0
2,2,55.0, 15th Arrondissement,2778.0
2,4,28.0, 15th Arrondissement,1600.0
2,2,40.0, 15th Arrondissement,2944.0
2,2,41.0, 15th Arrondissement,1699.0
3,2,55.0, 15th Arrondissement,3556.0
4,5,100.0, 15th Arrondissement,6500.0
2,4,44.0, 15th Arrondissement,2950.0
2,4,41.0, 15th Arrondissement,3000.0
3,2,50.0, 15th Arrondissement,3722.0
2,2,40.0, 15th Arrondissement,3056.0
2,2,28.0, 15th Arrondissement,5300.0
2,3,35.0, 15th Arrondissement,2000.0
2,2,34.0, 15th Arrondissement,3400.0
2,3,36.0, 15th Arrondissement,1950.0
2,4,31.0, 15th Arrondissement,1700.0
3,4,41.0, 15th Arrondissement,2900.0
1,1,10.0, 15th Arrondissement,1444.0
1,2,30.0, 15th Arrondissement,2500.0
2,4,56.0, 15th Arrondissement,5000.0
1,1,10.0, 15th Arrondissement,1444.0
1,2,33.0, 15th Arrondissement,2630.0
1,2,26.0, 15th Arrondissement,2555.0
1,2,25.0, 15th Arrondissement,1544.0
1,2,33.0, 15th Arrondissement,2630.0
1,3,31.0, 15th Arrondissement,5000.0
1,2,30.0, 15th Arrondissement,1400.0
3,6,140.0, 15th Arrondissement,4700.0
1,2,19.0, 15th Arrondissement,2050.0
1,2,20.0, 15th Arrondissement,2150.0
1,2,22.0, 15th Arrondissement,2300.0
1,2,25.0, 15th Arrondissement,2600.0
1,2,30.0, 15th Arrondissement,3000.0
2,3,75.0, 15th Arrondissement,3222.0
1,2,22.0, 15th Arrondissement,2475.0
1,2,18.0, 15th Arrondissement,4375.0
2,2,25.0, 15th Arrondissement,4650.0
1,2,19.0, 15th Arrondissement,10000.0
2,3,47.0, 15th Arrondissement,2150.0
1,1,9.0, 15th Arrondissement,905.0
2,2,50.0, 16th Arrondissement,3111.0
2,2,44.0, 16th Arrondissement,2000.0
1,1,24.0, 16th Arrondissement,1300.0
3,5,69.0, 16th Arrondissement,4250.0
2,2,30.0, 16th Arrondissement,1800.0
3,4,52.0, 16th Arrondissement,3000.0
3,4,65.0, 16th Arrondissement,3816.0
1,1,11.0, 16th Arrondissement,850.0
1,1,10.0, 16th Arrondissement,900.0
1,1,15.0, 16th Arrondissement,1400.0
3,4,69.0, 16th Arrondissement,6722.0
4,9,92.0, 16th Arrondissement,4564.0
3,6,78.0, 16th Arrondissement,4300.0
3,6,100.0, 16th Arrondissement,5730.0
3,4,105.0, 16th Arrondissement,5880.0
3,6,67.0, 16th Arrondissement,3150.0
2,2,46.0, 16th Arrondissement,2812.0
3,2,85.0, 16th Arrondissement,3788.0
2,4,76.0, 16th Arrondissement,5889.0
1,2,20.0, 16th Arrondissement,1517.0
1,1,26.0, 16th Arrondissement,1200.0
4,4,76.0, 16th Arrondissement,4300.0
3,4,74.0, 16th Arrondissement,3861.0
2,3,43.0, 16th Arrondissement,3222.0
2,2,42.0, 16th Arrondissement,2667.0
3,4,70.0, 16th Arrondissement,3300.0
1,2,40.0, 16th Arrondissement,2056.0
1,2,20.0, 16th Arrondissement,1778.0
1,1,12.0, 16th Arrondissement,1233.0
2,2,55.0, 16th Arrondissement,2618.0
2,2,55.0, 16th Arrondissement,2618.0
3,6,45.0, 16th Arrondissement,3111.0
1,4,70.0, 16th Arrondissement,4200.0
2,2,52.0, 16th Arrondissement,3111.0
2,2,42.0, 16th Arrondissement,3333.0
2,2,55.0, 16th Arrondissement,3100.0
2,2,50.0, 16th Arrondissement,3056.0
1,2,9.0, 16th Arrondissement,1178.0
1,1,18.0, 16th Arrondissement,1439.0
2,2,29.0, 16th Arrondissement,2746.0
1,2,52.0, 16th Arrondissement,3222.0
2,4,50.0, 16th Arrondissement,3490.0
2,2,55.0, 16th Arrondissement,2778.0
1,2,43.0, 16th Arrondissement,2280.0
2,2,40.0, 16th Arrondissement,3544.0
1,2,35.0, 16th Arrondissement,2111.0
3,6,100.0, 16th Arrondissement,4777.0
1,2,40.0, 16th Arrondissement,2444.0
2,2,32.0, 16th Arrondissement,2321.0
3,4,63.0, 16th Arrondissement,4000.0
1,2,13.12, 16th Arrondissement,1500.0
3,2,25.0, 16th Arrondissement,1900.0
1,1,15.0, 16th Arrondissement,1406.0
2,3,80.0, 16th Arrondissement,4920.0
1,2,23.0, 16th Arrondissement,1644.0
1,1,14.0, 16th Arrondissement,1106.0
1,2,26.0, 16th Arrondissement,2050.0
2,2,22.0, 16th Arrondissement,2094.0
1,2,46.0, 16th Arrondissement,3865.0
1,2,33.0, 16th Arrondissement,2556.0
1,2,40.0, 16th Arrondissement,3739.0
1,2,18.0, 16th Arrondissement,1944.0
2,2,32.0, 16th Arrondissement,2389.0
1,1,13.0, 16th Arrondissement,1611.0
2,2,65.0, 16th Arrondissement,5340.0
1,5,18.0, 16th Arrondissement,1444.0
3,6,100.0, 16th Arrondissement,5611.0
2,4,50.0, 16th Arrondissement,3700.0
1,1,18.0, 16th Arrondissement,1944.0
1,2,30.0, 16th Arrondissement,1400.0
1,2,27.0, 16th Arrondissement,2344.0
1,2,26.0, 16th Arrondissement,2076.0
2,2,46.0, 16th Arrondissement,1750.0
3,3,57.0, 16th Arrondissement,4889.0
3,6,148.0, 16th Arrondissement,15000.0
2,3,32.0, 16th Arrondissement,2667.0
1,4,33.0, 16th Arrondissement,2556.0
1,2,20.0, 16th Arrondissement,2000.0
1,1,10.0, 16th Arrondissement,1067.0
1,1,22.0, 16th Arrondissement,1889.0
2,2,49.0, 16th Arrondissement,3600.0
2,2,25.0, 16th Arrondissement,2067.0
2,2,45.0, 16th Arrondissement,2656.0
1,2,14.0, 16th Arrondissement,1894.0
3,3,82.0, 16th Arrondissement,4333.0
1,2,28.0, 16th Arrondissement,3335.0
2,2,45.0, 16th Arrondissement,2500.0
2,2,50.0, 16th Arrondissement,4222.0
1,2,41.0, 16th Arrondissement,5000.0
2,3,62.0, 16th Arrondissement,4556.0
2,2,34.0, 16th Arrondissement,2000.0
1,2,30.0, 16th Arrondissement,2394.0
1,1,21.0, 16th Arrondissement,2222.0
2,2,32.0, 16th Arrondissement,2200.0
2,1,50.0, 16th Arrondissement,4667.0
1,1,11.0, 16th Arrondissement,1333.0
3,4,70.0, 16th Arrondissement,2700.0
2,4,60.0, 16th Arrondissement,2700.0
1,2,15.0, 16th Arrondissement,1833.0
2,2,25.0, 16th Arrondissement,1250.0
2,2,55.0, 16th Arrondissement,4556.0
2,3,80.0, 16th Arrondissement,7800.0
1,2,15.0, 16th Arrondissement,1667.0
1,2,10.0, 16th Arrondissement,2078.0
4,6,99.0, 16th Arrondissement,7866.0
1,1,10.0, 16th Arrondissement,1500.0
2,2,52.0, 16th Arrondissement,3500.0
1,2,20.0, 16th Arrondissement,2466.0
1,1,10.0, 16th Arrondissement,1667.0
1,2,11.0, 16th Arrondissement,1506.0
3,3,63.0, 16th Arrondissement,6623.0
3,5,110.0, 16th Arrondissement,8444.0
1,2,15.0, 16th Arrondissement,2042.0
1,2,16.0, 16th Arrondissement,2556.0
1,2,13.0, 16th Arrondissement,2042.0
1,1,10.0, 16th Arrondissement,2222.0
4,6,142.0, 16th Arrondissement,13333.0
3,6,65.0, 16th Arrondissement,3667.0
2,2,75.0, 16th Arrondissement,4950.0
1,4,20.0, 16th Arrondissement,2000.0
2,2,50.0, 16th Arrondissement,2500.0
2,2,48.0, 16th Arrondissement,1600.0
2,4,44.0, 16th Arrondissement,2950.0
1,2,37.0, 16th Arrondissement,2389.0
2,2,28.0, 16th Arrondissement,5300.0
2,2,42.0, 16th Arrondissement,2944.0
3,2,64.0, 16th Arrondissement,3611.0
2,2,54.0, 16th Arrondissement,3700.0
2,2,50.0, 16th Arrondissement,4222.0
3,4,60.0, 16th Arrondissement,4400.0
2,3,35.0, 16th Arrondissement,2000.0
2,2,40.0, 16th Arrondissement,2889.0
2,2,34.0, 16th Arrondissement,3400.0
2,4,31.0, 16th Arrondissement,1700.0
2,2,61.0, 16th Arrondissement,5444.0
3,5,80.0, 16th Arrondissement,6526.0
1,6,67.0, 16th Arrondissement,5000.0
1,1,10.0, 16th Arrondissement,1444.0
3,4,84.0, 16th Arrondissement,3075.0
4,8,293.0, 16th Arrondissement,22000.0
1,2,33.0, 16th Arrondissement,2630.0
2,2,42.0, 16th Arrondissement,4850.0
1,2,33.0, 16th Arrondissement,2630.0
1,3,31.0, 16th Arrondissement,5000.0
4,8,260.0, 16th Arrondissement,25000.0
3,6,140.0, 16th Arrondissement,4700.0
4,8,220.0, 16th Arrondissement,20000.0
7,8,200.0, 16th Arrondissement,14000.0
1,2,30.0, 16th Arrondissement,3000.0
3,6,115.0, 16th Arrondissement,20000.0
2,2,35.0, 17th Arrondissement,1850.0
1,3,50.0, 17th Arrondissement,2000.0
1,1,9.0, 17th Arrondissement,620.0
2,4,50.0, 17th Arrondissement,2650.0
1,1,15.0, 17th Arrondissement,1400.0
3,6,100.0, 17th Arrondissement,5730.0
3,4,105.0, 17th Arrondissement,5880.0
2,3,43.0, 17th Arrondissement,3222.0
1,1,10.0, 17th Arrondissement,933.0
1,1,10.0, 17th Arrondissement,911.0
5,6,157.0, 17th Arrondissement,13111.0
2,3,35.0, 17th Arrondissement,1799.0
1,1,12.0, 17th Arrondissement,1233.0
2,2,55.0, 17th Arrondissement,2618.0
2,2,37.0, 17th Arrondissement,2667.0
2,5,60.0, 17th Arrondissement,2350.0
1,2,45.0, 17th Arrondissement,2617.0
1,2,11.0, 17th Arrondissement,1678.0
1,2,40.0, 17th Arrondissement,3222.0
2,2,40.0, 17th Arrondissement,2333.0
1,2,50.0, 17th Arrondissement,2889.0
1,2,36.0, 17th Arrondissement,3144.0
1,2,35.0, 17th Arrondissement,2000.0
3,4,90.0, 17th Arrondissement,4890.0
1,2,25.0, 17th Arrondissement,1850.0
1,1,18.0, 17th Arrondissement,1439.0
2,2,35.0, 17th Arrondissement,2566.0
2,2,40.0, 17th Arrondissement,1800.0
1,2,11.0, 17th Arrondissement,1678.0
1,1,15.0, 17th Arrondissement,1406.0
2,2,40.0, 17th Arrondissement,2078.0
3,4,75.0, 17th Arrondissement,5170.0
1,2,25.0, 17th Arrondissement,1600.0
2,2,32.0, 17th Arrondissement,3111.0
3,6,87.0, 17th Arrondissement,5000.0
1,2,11.0, 17th Arrondissement,1556.0
1,2,18.0, 17th Arrondissement,1944.0
2,2,32.0, 17th Arrondissement,2389.0
1,2,73.0, 17th Arrondissement,4433.0
1,2,20.0, 17th Arrondissement,1250.0
1,2,19.0, 17th Arrondissement,2000.0
2,4,43.0, 17th Arrondissement,2300.0
1,2,27.0, 17th Arrondissement,2277.0
2,2,32.0, 17th Arrondissement,2556.0
3,3,57.0, 17th Arrondissement,4889.0
1,2,34.0, 17th Arrondissement,2778.0
2,4,55.0, 17th Arrondissement,6000.0
3,4,61.0, 17th Arrondissement,4333.0
2,3,50.0, 17th Arrondissement,2300.0
1,1,22.0, 17th Arrondissement,1889.0
1,2,33.0, 17th Arrondissement,2667.0
3,4,55.0, 17th Arrondissement,4556.0
2,2,45.0, 17th Arrondissement,2500.0
2,2,33.0, 17th Arrondissement,2778.0
1,1,9.0, 17th Arrondissement,1222.0
2,2,34.0, 17th Arrondissement,2889.0
2,3,62.0, 17th Arrondissement,4556.0
7,5,98.0, 17th Arrondissement,5944.0
2,1,50.0, 17th Arrondissement,4667.0
2,2,50.0, 17th Arrondissement,2333.0
3,6,118.0, 17th Arrondissement,10111.0
2,3,60.0, 17th Arrondissement,7200.0
2,2,40.0, 17th Arrondissement,3222.0
1,1,10.0, 17th Arrondissement,1667.0
1,2,11.0, 17th Arrondissement,1506.0
5,8,155.0, 17th Arrondissement,15111.0
1,2,13.0, 17th Arrondissement,1600.0
2,2,47.0, 17th Arrondissement,2438.0
2,1,80.0, 17th Arrondissement,1900.0
1,2,35.0, 17th Arrondissement,2500.0
2,2,46.0, 17th Arrondissement,3800.0
1,2,22.0, 17th Arrondissement,1400.0
2,4,40.0, 17th Arrondissement,6727.0
1,2,18.0, 17th Arrondissement,4247.0
1,2,23.0, 17th Arrondissement,4867.0
2,3,35.0, 17th Arrondissement,6107.0
2,4,53.0, 17th Arrondissement,2799.0
3,4,60.0, 17th Arrondissement,3149.0
3,4,42.0, 17th Arrondissement,1750.0
1,2,16.0, 17th Arrondissement,1300.0
2,2,25.0, 17th Arrondissement,1500.0
3,5,80.0, 17th Arrondissement,6526.0
3,3,35.0, 17th Arrondissement,2000.0
2,4,55.0, 17th Arrondissement,2500.0
1,1,12.0, 17th Arrondissement,2200.0
1,2,30.0, 17th Arrondissement,3158.0
1,2,21.0, 18th Arrondissement,1500.0
2,3,30.0, 18th Arrondissement,1600.0
1,2,26.0, 18th Arrondissement,1889.0
3,6,100.0, 18th Arrondissement,5500.0
1,2,27.0, 18th Arrondissement,1550.0
1,2,46.0, 18th Arrondissement,4900.0
3,4,72.0, 18th Arrondissement,2112.0
1,1,16.0, 18th Arrondissement,967.0
1,2,25.0, 18th Arrondissement,1856.0
1,1,13.0, 18th Arrondissement,1033.0
1,5,103.0, 18th Arrondissement,6430.0
1,2,22.0, 18th Arrondissement,1834.0
2,4,42.0, 18th Arrondissement,2556.0
2,2,27.0, 18th Arrondissement,2067.0
2,2,40.0, 18th Arrondissement,2644.0
2,2,45.0, 18th Arrondissement,3480.0
3,4,76.0, 18th Arrondissement,4889.0
1,4,42.0, 18th Arrondissement,2550.0
1,2,18.0, 18th Arrondissement,1528.0
2,2,60.0, 18th Arrondissement,2660.0
2,4,27.0, 18th Arrondissement,2583.0
2,2,37.0, 18th Arrondissement,2333.0
3,4,42.0, 18th Arrondissement,2400.0
1,1,10.0, 18th Arrondissement,967.0
1,3,25.0, 18th Arrondissement,1667.0
1,2,17.0, 18th Arrondissement,1222.0
1,2,73.0, 18th Arrondissement,4433.0
2,4,35.0, 18th Arrondissement,2310.0
1,2,13.0, 18th Arrondissement,1333.0
1,2,23.0, 18th Arrondissement,2000.0
2,3,35.0, 18th Arrondissement,2778.0
2,2,40.0, 18th Arrondissement,2528.0
2,2,40.0, 18th Arrondissement,1800.0
3,4,55.0, 18th Arrondissement,4556.0
1,2,9.0, 18th Arrondissement,1222.0
3,1,48.0, 18th Arrondissement,755.0
3,1,47.0, 18th Arrondissement,755.0
1,4,80.0, 18th Arrondissement,2950.0
2,2,50.0, 18th Arrondissement,2333.0
2,2,28.0, 18th Arrondissement,1378.0
1,2,13.0, 18th Arrondissement,989.0
3,3,55.0, 18th Arrondissement,2400.0
2,2,60.0, 18th Arrondissement,1750.0
2,2,37.0, 18th Arrondissement,2333.0
2,4,47.0, 18th Arrondissement,2900.0
3,4,48.0, 18th Arrondissement,5000.0
3,4,47.0, 18th Arrondissement,5000.0
3,2,35.0, 18th Arrondissement,2200.0
2,6,33.0, 18th Arrondissement,2500.0
2,5,70.0, 18th Arrondissement,5000.0
1,2,50.0, 18th Arrondissement,3000.0
1,2,25.0, 18th Arrondissement,2122.0
1,1,21.0, 18th Arrondissement,1650.0
3,4,67.0, 18th Arrondissement,2599.0
2,2,33.0, 18th Arrondissement,1700.0
2,3,50.0, 18th Arrondissement,50000.0
2,3,50.0, 18th Arrondissement,12000.0
1,2,14.0, 18th Arrondissement,3000.0
1,1,12.0, 18th Arrondissement,12000.0
3,2,39.0, 19th Arrondissement,1700.0
3,4,72.0, 19th Arrondissement,2112.0
1,1,17.0, 19th Arrondissement,1056.0
3,5,51.0, 19th Arrondissement,3539.0
1,1,11.0, 19th Arrondissement,1033.0
2,2,43.0, 19th Arrondissement,1800.0
1,1,11.0, 19th Arrondissement,1056.0
2,2,43.0, 19th Arrondissement,2333.0
1,2,15.0, 19th Arrondissement,1367.0
1,2,15.0, 19th Arrondissement,1222.0
2,2,36.0, 19th Arrondissement,1800.0
2,2,58.0, 19th Arrondissement,2080.0
2,2,33.0, 19th Arrondissement,2333.0
1,1,11.0, 19th Arrondissement,1000.0
2,2,48.0, 19th Arrondissement,2500.0
2,4,52.0, 19th Arrondissement,2750.0
1,1,9.0, 19th Arrondissement,944.0
1,1,12.0, 19th Arrondissement,1000.0
1,2,27.0, 19th Arrondissement,1889.0
1,2,18.0, 19th Arrondissement,1556.0
1,2,15.0, 19th Arrondissement,1344.0
1,2,28.0, 19th Arrondissement,2000.0
2,2,30.0, 19th Arrondissement,1778.0
3,4,77.0, 19th Arrondissement,5556.0
1,2,13.0, 19th Arrondissement,1333.0
1,2,23.0, 19th Arrondissement,2000.0
4,6,92.0, 19th Arrondissement,4000.0
2,2,60.0, 19th Arrondissement,3556.0
3,4,70.0, 19th Arrondissement,3450.0
2,4,37.0, 19th Arrondissement,3255.0
3,4,67.0, 19th Arrondissement,2600.0
2,4,45.0, 19th Arrondissement,2550.0
1,2,22.0, 19th Arrondissement,1350.0
1,4,89.0, 19th Arrondissement,3100.0
2,4,20.0, 19th Arrondissement,2273.0
3,2,60.0, 19th Arrondissement,3000.0
1,1,30.0, 19th Arrondissement,2000.0
3,2,61.0, 19th Arrondissement,2400.0
1,2,20.0, 19th Arrondissement,1300.0
2,20,202.0, 19th Arrondissement,15000.0
1,2,15.0, 19th Arrondissement,1695.0
5,5,170.0, 19th Arrondissement,10000.0
1,2,43.0, 19th Arrondissement,2800.0
3,4,63.0, 19th Arrondissement,2600.0
1,2,27.0, 19th Arrondissement,1850.0
1,2,27.0, 19th Arrondissement,1490.0
4,8,89.0, 19th Arrondissement,5500.0
1,4,36.0, 19th Arrondissement,4000.0
2,5,70.0, 19th Arrondissement,5000.0
1,2,14.0, 19th Arrondissement,3000.0
2,2,43.0, 20th Arrondissement,2650.0
1,2,23.0, 20th Arrondissement,1600.0
3,4,66.0, 20th Arrondissement,3400.0
2,2,24.0, 20th Arrondissement,1380.0
2,2,38.0, 20th Arrondissement,1700.0
2,3,34.0, 20th Arrondissement,1200.0
2,4,107.0, 20th Arrondissement,5244.0
2,5,73.0, 20th Arrondissement,3710.0
2,4,50.0, 20th Arrondissement,3333.0
2,3,45.0, 20th Arrondissement,2100.0
1,2,15.0, 20th Arrondissement,1222.0
1,1,12.0, 20th Arrondissement,1200.0
2,2,33.0, 20th Arrondissement,2470.0
5,6,84.0, 20th Arrondissement,4667.0
1,4,52.0, 20th Arrondissement,2500.0
2,4,31.0, 20th Arrondissement,2094.0
1,2,20.0, 20th Arrondissement,1636.0
2,2,26.0, 20th Arrondissement,2333.0
1,1,11.0, 20th Arrondissement,1122.0
1,4,74.0, 20th Arrondissement,4805.0
1,2,18.0, 20th Arrondissement,1556.0
1,2,15.0, 20th Arrondissement,1344.0
1,2,38.0, 20th Arrondissement,2550.0
2,2,29.0, 20th Arrondissement,1900.0
3,3,55.0, 20th Arrondissement,2893.0
1,2,20.0, 20th Arrondissement,1778.0
4,6,92.0, 20th Arrondissement,4000.0
2,2,31.0, 20th Arrondissement,2111.0
1,2,26.0, 20th Arrondissement,2178.0
3,5,65.0, 20th Arrondissement,4444.0
1,2,22.0, 20th Arrondissement,2121.0
2,2,34.0, 20th Arrondissement,2778.0
2,4,35.0, 20th Arrondissement,3089.0
2,4,35.0, 20th Arrondissement,2400.0
1,2,30.0, 20th Arrondissement,2444.0
1,2,19.0, 20th Arrondissement,2015.0
3,6,55.0, 20th Arrondissement,4444.0
3,4,67.0, 20th Arrondissement,2600.0
2,2,35.0, 20th Arrondissement,1900.0
1,2,14.0, 20th Arrondissement,1556.0
1,2,22.0, 20th Arrondissement,1350.0
1,4,89.0, 20th Arrondissement,3100.0
3,2,60.0, 20th Arrondissement,3000.0
1,3,25.0, 20th Arrondissement,1600.0
3,2,61.0, 20th Arrondissement,2400.0
1,2,20.0, 20th Arrondissement,1300.0
2,2,16.0, 20th Arrondissement,1150.0
2,1,20.0, 20th Arrondissement,1500.0
2,20,202.0, 20th Arrondissement,15000.0
5,5,170.0, 20th Arrondissement,10000.0
2,2,44.0, 20th Arrondissement,2500.0
2,2,42.0, 20th Arrondissement,1600.0
3,4,63.0, 20th Arrondissement,2600.0
1,2,27.0, 20th Arrondissement,1850.0
1,4,36.0, 20th Arrondissement,4000.0
2,2,51.0, 20th Arrondissement,1990.0
1,2,28.0, 20th Arrondissement,2200.0
2,3,45.0, 20th Arrondissement,7500.0
